date,equity
2023-08-07 09:30:00-04:00,99998.75062468766
2023-08-08 09:30:00-04:00,99933.46621344954
2023-08-09 09:30:00-04:00,99721.72150387712
2023-08-10 09:30:00-04:00,99702.46897343868
2023-08-11 09:30:00-04:00,99688.63021923476
2023-08-14 09:30:00-04:00,99960.38667401357
2023-08-15 09:30:00-04:00,99820.788540884
2023-08-16 09:30:00-04:00,99686.85899809815
2023-08-17 09:30:00-04:00,99248.79842474246
2023-08-18 09:30:00-04:00,99505.36062660706
2023-08-21 09:30:00-04:00,99876.66965887127
2023-08-22 09:30:00-04:00,99724.77334455875
2023-08-23 09:30:00-04:00,100228.06529287892
2023-08-24 09:30:00-04:00,99116.14155579277
2023-08-25 09:30:00-04:00,99221.08736334146
2023-08-28 09:30:00-04:00,99274.51200115825
2023-08-29 09:30:00-04:00,100136.16612600391
2023-08-30 09:30:00-04:00,100482.30779252216
2023-08-31 09:30:00-04:00,100291.18058400723
2023-09-01 09:30:00-04:00,100062.15840850506
2023-09-05 09:30:00-04:00,100313.39579388013
2023-09-06 09:30:00-04:00,99833.68067707217
2023-09-07 09:30:00-04:00,100263.67075621881
2023-09-08 09:30:00-04:00,100321.20605322489
2023-09-11 09:30:00-04:00,100772.24315339678
2023-09-12 09:30:00-04:00,100265.46988055238
2023-09-13 09:30:00-04:00,100491.46685330459
2023-09-14 09:30:00-04:00,100501.61769739685
2023-09-15 09:30:00-04:00,99409.77350634406
2023-09-18 09:30:00-04:00,99799.38633208195
2023-09-19 09:30:00-04:00,99880.57404055222
2023-09-20 09:30:00-04:00,98633.87148734357
2023-09-21 09:30:00-04:00,97965.21008628917
2023-09-22 09:30:00-04:00,97679.5142417101
2023-09-25 09:30:00-04:00,98296.49741194857
2023-09-26 09:30:00-04:00,97516.32122127287
2023-09-27 09:30:00-04:00,97793.84978349073
2023-09-28 09:30:00-04:00,98667.36615887033
2023-09-29 09:30:00-04:00,98149.18587348334
2023-10-02 09:30:00-04:00,98846.3742547679
2023-10-03 09:30:00-04:00,97745.45708656288
2023-10-04 09:30:00-04:00,98633.04922181275
2023-10-05 09:30:00-04:00,98764.42058820135
2023-10-06 09:30:00-04:00,100455.06004393756
2023-10-09 09:30:00-04:00,101414.78782484878
2023-10-10 09:30:00-04:00,101462.43301955517
2023-10-11 09:30:00-04:00,101948.8873127382
2023-10-12 09:30:00-04:00,101695.02855901045
2023-10-13 09:30:00-04:00,100461.58414802502
2023-10-16 09:30:00-04:00,101002.42956589739
2023-10-17 09:30:00-04:00,101533.0960635315
2023-10-18 09:30:00-04:00,100923.92982773541
2023-10-19 09:30:00-04:00,100362.77404549922
2023-10-20 09:30:00-04:00,99343.1713262085
2023-10-23 09:30:00-04:00,100202.8443376671
2023-10-24 09:30:00-04:00,100587.68806204741
2023-10-25 09:30:00-04:00,98972.08008919554
2023-10-26 09:30:00-04:00,97984.41563503766
2023-10-27 09:30:00-04:00,97775.02882206612
2023-10-30 09:30:00-04:00,98076.12371232497
2023-10-31 09:30:00-04:00,98237.53718776596
2023-11-01 09:30:00-04:00,99320.43659274603
2023-11-02 09:30:00-04:00,100299.87758976844
2023-11-03 09:30:00-04:00,101024.87007562978
2023-11-06 09:30:00-05:00,101358.79206590429
2023-11-07 09:30:00-05:00,101775.15007219225
2023-11-08 09:30:00-05:00,101740.52028063191
2023-11-09 09:30:00-05:00,101288.52815821677
2023-11-10 09:30:00-05:00,102921.21323915132
2023-11-13 09:30:00-05:00,102943.5077515408
2023-11-14 09:30:00-05:00,103105.52830725117
2023-11-15 09:30:00-05:00,102718.41788786052
2023-11-16 09:30:00-05:00,103252.24850209644
2023-11-17 09:30:00-05:00,103382.46775430447
2023-11-20 09:30:00-05:00,104213.66705827776
2023-11-21 09:30:00-05:00,103961.34050282225
2023-11-22 09:30:00-05:00,104010.98441792277
2023-11-24 09:30:00-05:00,103665.70422161667
2023-11-27 09:30:00-05:00,103750.82745813159
2023-11-28 09:30:00-05:00,104028.19565959951
2023-11-29 09:30:00-05:00,103460.73316405414
2023-11-30 09:30:00-05:00,103101.83249805812
2023-12-01 09:30:00-05:00,103303.03984059153
2023-12-04 09:30:00-05:00,102774.5384407005
2023-12-05 09:30:00-05:00,103563.06508899062
2023-12-06 09:30:00-05:00,102390.60118696617
2023-12-07 09:30:00-05:00,102958.33472725993
2023-12-08 09:30:00-05:00,103852.85063796371
2023-12-11 09:30:00-05:00,103853.23464636445
2023-12-12 09:30:00-05:00,104559.68114859854
2023-12-13 09:30:00-05:00,105005.520479317
2023-12-14 09:30:00-05:00,104619.62902340054
2023-12-15 09:30:00-05:00,104932.5284660621
2023-12-18 09:30:00-05:00,105621.38936988631
2023-12-19 09:30:00-05:00,105862.35495262714
2023-12-20 09:30:00-05:00,104989.1599720922
2023-12-21 09:30:00-05:00,105194.94519339569
2023-12-22 09:30:00-05:00,105004.08154880855
2023-12-26 09:30:00-05:00,105152.23359114831
2023-12-27 09:30:00-05:00,105053.27070759793
2023-12-28 09:30:00-05:00,104922.37886158418
2023-12-29 09:30:00-05:00,104512.39808504307
2024-01-02 09:30:00-05:00,103634.44826130228
2024-01-03 09:30:00-05:00,103604.42910526699
2024-01-04 09:30:00-05:00,103499.36348428493
2024-01-05 09:30:00-05:00,103516.59043690826
2024-01-08 09:30:00-05:00,104992.61240668406
2024-01-09 09:30:00-05:00,105582.1634219444
2024-01-10 09:30:00-05:00,106223.26672014447
2024-01-11 09:30:00-05:00,105968.95834166161
2024-01-12 09:30:00-05:00,106093.31857081823
2024-01-16 09:30:00-05:00,106159.59470475995
2024-01-17 09:30:00-05:00,106245.76961460314
2024-01-18 09:30:00-05:00,106707.12975024356
2024-01-19 09:30:00-05:00,107480.51783081015
2024-01-22 09:30:00-05:00,107238.2119936455
2024-01-23 09:30:00-05:00,107455.31230555491
2024-01-24 09:30:00-05:00,107504.89219435191
2024-01-25 09:30:00-05:00,107689.55818163737
2024-01-26 09:30:00-05:00,107715.86001922548
2024-01-29 09:30:00-05:00,108437.8766423048
2024-01-30 09:30:00-05:00,108080.85511236632
2024-01-31 09:30:00-05:00,107514.0712814308
2024-02-01 09:30:00-05:00,108086.90799908804
2024-02-02 09:30:00-05:00,108946.30536188695
2024-02-05 09:30:00-05:00,108826.85754608462
2024-02-06 09:30:00-05:00,110125.77333131876
2024-02-07 09:30:00-05:00,111024.2343142199
2024-02-08 09:30:00-05:00,111578.13870136999
2024-02-09 09:30:00-05:00,111891.95102251665
2024-02-12 09:30:00-05:00,111646.750306868
2024-02-13 09:30:00-05:00,111685.94300838452
2024-02-14 09:30:00-05:00,111809.93264623196
2024-02-15 09:30:00-05:00,111916.53450793649
2024-02-16 09:30:00-05:00,111442.1009078692
2024-02-20 09:30:00-05:00,111009.18454818074
2024-02-21 09:30:00-05:00,110957.34766842509
2024-02-22 09:30:00-05:00,111357.75017202934
2024-02-23 09:30:00-05:00,110991.46796872468
2024-02-26 09:30:00-05:00,110645.68147500648
2024-02-27 09:30:00-05:00,110905.20954620122
2024-02-28 09:30:00-05:00,110753.8768244482
2024-02-29 09:30:00-05:00,111089.35174883204
2024-03-01 09:30:00-05:00,111743.37898349049
2024-03-04 09:30:00-05:00,111465.80747488642
2024-03-05 09:30:00-05:00,111003.96237945264
2024-03-06 09:30:00-05:00,111407.1869011585
2024-03-07 09:30:00-05:00,112167.70636284348
2024-03-08 09:30:00-05:00,111224.21045618769
2024-03-11 09:30:00-04:00,110524.98112910512
2024-03-12 09:30:00-04:00,111315.32912076396
2024-03-13 09:30:00-04:00,111224.8781235215
2024-03-14 09:30:00-04:00,110843.59588075826
2024-03-15 09:30:00-04:00,110360.82929424234
2024-03-18 09:30:00-04:00,110074.53992686093
2024-03-19 09:30:00-04:00,110594.94760453797
2024-03-20 09:30:00-04:00,111288.19551496452
2024-03-21 09:30:00-04:00,110456.20238051863
2024-03-22 09:30:00-04:00,110859.83641144817
2024-03-25 09:30:00-04:00,111040.51439144844
2024-03-26 09:30:00-04:00,110580.78875523407
2024-03-27 09:30:00-04:00,110098.83657650811
2024-03-28 09:30:00-04:00,109630.21340194336
2024-04-01 09:30:00-04:00,110031.6413410921
2024-04-02 09:30:00-04:00,110455.92534565457
2024-04-03 09:30:00-04:00,111205.71798803398
2024-04-04 09:30:00-04:00,109461.71038533075
2024-04-05 09:30:00-04:00,110405.39997535545
2024-04-08 09:30:00-04:00,110009.63108364379
2024-04-09 09:30:00-04:00,109488.43593327454
2024-04-10 09:30:00-04:00,110024.99883751817
2024-04-11 09:30:00-04:00,111278.79181336667
2024-04-12 09:30:00-04:00,110812.34227206357
2024-04-15 09:30:00-04:00,108751.14562241825
2024-04-16 09:30:00-04:00,108810.69072812877
2024-04-17 09:30:00-04:00,107574.8051136274
2024-04-18 09:30:00-04:00,107235.51701381283
2024-04-19 09:30:00-04:00,105391.80181620333
2024-04-22 09:30:00-04:00,105839.33893593334
2024-04-23 09:30:00-04:00,106729.83511756803
2024-04-24 09:30:00-04:00,106002.29535636629
2024-04-25 09:30:00-04:00,107781.86184691111
2024-04-26 09:30:00-04:00,108252.8823668478
2024-04-29 09:30:00-04:00,107940.47358834874
2024-04-30 09:30:00-04:00,106682.0450630577
2024-05-01 09:30:00-04:00,106384.79694706328
2024-05-02 09:30:00-04:00,107129.37479687316
2024-05-03 09:30:00-04:00,107512.71070320561
