wait_days,final,return_pct,max_dd_pct,orders,buys,exits,open
1,130942.07469362236,30.942074693622356,-10.43699678051957,191,159,32,10
2,130439.0546560029,30.439054656002895,-10.529552650033402,189,157,32,10
3,128539.51044563367,28.539510445633674,-11.089273656950105,182,152,30,10
4,129899.33950104786,29.899339501047862,-11.130543930312864,186,154,32,9
5,128996.19630348762,28.996196303487622,-11.136029596977204,185,153,32,10
