year,profit
2010,105982.8530748443
2011,-32992.61905835133
2012,45760.948365852135
2013,122623.70779482223
2014,3185.728677027233
2015,-101797.92247548557
2016,-25688.918651189237
2017,187527.58987486278
2018,-56382.696529994166
2019,73845.28125825642
2020,106966.79956967651
2021,16164.374245713665
2022,-64798.21142093742
2023,39977.928467593825
