date,equity,cash,positions,exposure
2023-08-07 00:00:00,99998.75062468766,97500.0,1,2498.7506246876565
2023-08-07 13:30:00,99997.5012649847,95000.03123438281,2,4997.470030601891
2023-08-08 00:00:00,100015.50763812188,89999.13089244817,4,10016.376745673708
2023-08-08 13:30:00,99749.01592933538,85011.55546890934,5,14737.460460426042
2023-08-09 00:00:00,99613.45633210013,82514.59589669596,6,17098.860435404178
2023-08-09 13:30:00,98497.19971770511,81321.65070356184,7,17175.549014143267
2023-08-10 00:00:00,98510.61347219051,81319.3242813836,6,17191.289190806907
2023-08-10 13:30:00,98547.35882352902,78772.7626832888,7,19774.596140240214
2023-08-11 00:00:00,98511.22868918756,86191.61135224902,5,12319.617336938529
2023-08-11 13:30:00,98169.27668396887,83547.1246286622,5,14622.152055306658
2023-08-14 00:00:00,98200.06540856477,83547.1246286622,5,14652.94077990256
2023-08-14 13:30:00,98859.66823867366,81075.60204410236,6,17784.066194571307
2023-08-15 00:00:00,98833.4462009996,78580.6612889856,7,20252.78491201401
2023-08-15 13:30:00,98569.92703628654,80913.62127816047,6,17656.30575812607
2023-08-16 00:00:00,98459.86750647757,75990.50488643501,7,22469.36262004257
2023-08-16 13:30:00,98250.5152179791,73502.53364421213,7,24747.981573766974
2023-08-17 00:00:00,98178.45968086891,75858.38629990294,6,22320.073380965972
2023-08-17 13:30:00,97010.76433728525,77349.44025242716,6,19661.324084858083
2023-08-18 00:00:00,97008.00687365065,79786.84780702065,6,17221.15906663001
2023-08-18 13:30:00,96969.06811983476,82057.41066523513,5,14911.657454599632
2023-08-21 00:00:00,97027.51590979614,82057.41066523513,5,14970.105244561011
2023-08-21 13:30:00,98282.10029220063,82057.41066523513,5,16224.689626965504
2023-08-22 00:00:00,98324.04617921496,77141.08550956883,7,21182.960669646134
2023-08-22 13:30:00,98090.33164964244,72236.44637238563,7,25853.885277256806
2023-08-23 00:00:00,98356.55427272795,72236.44637238563,7,26120.10790034233
2023-08-23 13:30:00,99260.65068940655,72236.44637238563,7,27024.204317020918
2023-08-24 00:00:00,98894.47012647844,72106.87210005388,7,26787.59802642455
2023-08-24 13:30:00,98171.05309899592,69595.68366841554,8,28575.369430580384
2023-08-25 00:00:00,98290.60776014047,69595.68366841554,8,28694.924091724926
2023-08-25 13:30:00,98485.33609117787,67133.51950446489,9,31351.816586712983
2023-08-28 00:00:00,98557.74833246667,62205.50894914701,9,36352.23938331966
2023-08-28 13:30:00,99005.1460297537,57255.12794998319,9,41750.01807977051
2023-08-29 00:00:00,99396.470920617,57255.12794998319,9,42141.342970633814
2023-08-29 13:30:00,102135.43070125904,57255.12794998319,9,44880.302751275856
2023-08-30 00:00:00,102268.17078005272,54698.39173725083,9,47569.77904280189
2023-08-30 13:30:00,103116.3316862381,52120.451236942696,9,50995.88044929541
2023-08-31 00:00:00,103238.47997054909,49539.45699137405,9,53699.02297917504
2023-08-31 13:30:00,102324.7929790346,44423.0894971576,10,57901.703481877
2023-09-01 00:00:00,102386.16460045832,39303.65334519186,10,63082.51125526645
2023-09-01 13:30:00,101473.29523587885,36766.78926934142,10,64706.50596653743
2023-09-05 00:00:00,101645.54106245906,36766.78926934142,10,64878.75179311764
2023-09-05 13:30:00,102781.86327208606,36766.78926934142,10,66015.07400274464
2023-09-06 00:00:00,102345.33547484859,31649.394624668334,10,70695.94085018025
2023-09-06 13:30:00,101460.32490507959,29112.854811139125,10,72347.47009394046
2023-09-07 00:00:00,101369.70833083283,34074.094202857654,9,67295.61412797518
2023-09-07 13:30:00,100830.63935956308,31553.29672464721,9,69277.34263491587
2023-09-08 00:00:00,101140.8562006385,29024.743728514353,10,72116.11247212415
2023-09-08 13:30:00,100567.63518778684,26510.521436747073,10,74057.11375103977
2023-09-11 00:00:00,101236.1346511917,23979.58644959038,10,77256.54820160133
2023-09-11 13:30:00,104145.94351962542,21375.90533185065,10,82770.03818777477
2023-09-12 00:00:00,103404.6035770945,23742.81476789679,10,79661.78880919771
2023-09-12 13:30:00,101692.89652978675,26197.787919266837,10,75495.10861051992
2023-09-13 00:00:00,102487.9241366562,23635.557803979926,10,78852.36633267628
2023-09-13 13:30:00,101909.27669984665,30193.772987533022,10,71715.50371231363
2023-09-14 00:00:00,102242.94063313233,30193.772987533022,10,72049.1676455993
2023-09-14 13:30:00,103079.55315738532,25039.66654139674,10,78039.88661598858
2023-09-15 00:00:00,101748.21923457374,27619.62032429795,10,74128.59891027579
2023-09-15 13:30:00,100253.20108710474,32548.292190034488,10,67704.90889707024
2023-09-18 00:00:00,100281.85658907483,32548.292190034488,10,67733.56439904035
2023-09-18 13:30:00,99794.487216586,27558.443145321013,10,72236.04407126499
2023-09-19 00:00:00,99270.14135679636,27558.443145321013,10,71711.69821147535
2023-09-19 13:30:00,99301.33096533656,27558.443145321013,10,71742.88782001555
2023-09-20 00:00:00,97948.42172615809,49619.86452783612,8,48328.55719832197
2023-09-20 13:30:00,96917.6523409595,51955.64597426281,8,44962.00636669668
2023-09-21 00:00:00,96511.89762351036,54405.024456133375,8,42106.87316737699
2023-09-21 13:30:00,94849.96246970099,56437.70104729156,8,38412.26142240943
2023-09-22 00:00:00,94903.81068854171,58943.711295822766,7,35960.09939271895
2023-09-22 13:30:00,94267.48416493963,56569.55193133722,7,37697.932233602405
2023-09-25 00:00:00,94399.07055557528,56569.55193133722,7,37829.518624238066
2023-09-25 13:30:00,94708.75394738602,56569.55193133722,7,38139.2020160488
2023-09-26 00:00:00,94341.65720641188,58766.25140402522,7,35575.40580238667
2023-09-26 13:30:00,93466.80242846222,68158.10753372383,6,25308.694894738397
2023-09-27 00:00:00,93429.6664000886,65822.33669117735,6,27607.32970891125
2023-09-27 13:30:00,93100.9428075386,61167.173229874345,6,31933.76957766425
2023-09-28 00:00:00,93114.45596400088,68194.16451025795,4,24920.29145374293
2023-09-28 13:30:00,93682.11487456897,75014.43982816242,3,18667.67504640656
2023-09-29 00:00:00,93679.77399213832,70330.33408443395,5,23349.43990770436
2023-09-29 13:30:00,93688.64596474497,65645.78473099046,6,28042.861233754513
2023-10-02 00:00:00,93845.30735821773,65645.78473099046,6,28199.52262722727
2023-10-02 13:30:00,94281.56167984323,67958.86039747915,5,26322.701282364083
2023-10-03 00:00:00,94102.91212695598,65529.841158403295,6,28573.070968552696
2023-10-03 13:30:00,92860.6878703946,64970.86352584546,7,27889.82434454914
2023-10-04 00:00:00,93030.77394347676,64970.86352584546,7,28059.910417631305
2023-10-04 13:30:00,94528.67959993081,64970.86352584546,7,29557.816074085353
2023-10-05 00:00:00,94549.77343773376,60243.25672285425,8,34306.51671487951
2023-10-05 13:30:00,94468.53178467439,57881.513921205886,9,36587.01786346851
2023-10-06 00:00:00,94811.70679524045,57881.513921205886,9,36930.19287403456
2023-10-06 13:30:00,95808.59440325132,57881.513921205886,9,37927.080482045436
2023-10-09 00:00:00,95844.70256755484,57881.513921205886,9,37963.18864634894
2023-10-09 13:30:00,96353.40367918441,55472.64873345931,9,40880.75494572511
2023-10-10 00:00:00,96430.07939447166,50651.02428336466,10,45779.05511110699
2023-10-10 13:30:00,96991.98569532331,49281.92544547496,10,47710.06024984835
2023-10-11 00:00:00,97383.89872559818,49281.92544547496,10,48101.973280123224
2023-10-11 13:30:00,97591.2244678278,51438.89837115486,10,46152.32609667293
2023-10-12 00:00:00,97577.14877268363,48999.4391738368,10,48577.70959884684
2023-10-12 13:30:00,96877.04358678136,48874.69103644398,10,48002.35255033739
2023-10-13 00:00:00,96382.30955166543,44055.455138173595,10,52326.854413491834
2023-10-13 13:30:00,94896.6452644179,46258.822329399205,9,48637.822935018696
2023-10-16 00:00:00,95446.96467537605,48667.22494702519,8,46779.73972835085
2023-10-16 13:30:00,96038.55120837822,51011.22693228751,8,45027.32427609071
2023-10-17 00:00:00,95603.25447690973,53283.82772184368,8,42319.42675506605
2023-10-17 13:30:00,95994.39698996927,50883.937813462406,9,45110.45917650687
2023-10-18 00:00:00,95409.16754438911,46113.360231405815,9,49295.8073129833
2023-10-18 13:30:00,93853.51039351328,43742.002487648075,9,50111.507905865205
2023-10-19 00:00:00,93403.9131667463,43684.61982505389,10,49719.2933416924
2023-10-19 13:30:00,94544.3774524186,41313.782570864554,9,53230.59488155405
2023-10-20 00:00:00,93294.66429392375,57552.037462760025,8,35742.626831163725
2023-10-20 13:30:00,92507.23948049698,57073.69708178103,9,35433.54239871595
2023-10-23 00:00:00,92725.73249390998,59357.61917627287,8,33368.11331763711
2023-10-23 13:30:00,93260.19045947585,57026.08528517714,8,36234.10517429871
2023-10-24 00:00:00,93502.0657818809,52350.86517399137,8,41151.200607889536
2023-10-24 13:30:00,93936.9384520585,52350.86517399137,8,41586.073278067124
2023-10-25 00:00:00,93715.73717598105,56769.53203241181,7,36946.20514356924
2023-10-25 13:30:00,92531.71104335891,54294.86242334936,7,38236.84862000955
2023-10-26 00:00:00,91913.31510987744,49699.08183075923,8,42214.23327911821
