tp_pct,sample,test,start,end,symbols,profit,premium,trades,wins,win_rate_pct,profit_on_premium_pct,positive_symbols,max_symbol_share_pct
500,current_mature,tp_500_current_mature,2023-08-06,2026-08-05,10,150810.8779516078,188021.60255431628,458,179,39.082969432314414,80.20933547146056,9,29.75752767124873
500,unseen_recent,tp_500_unseen_recent,2023-08-06,2026-08-05,10,148170.97881316274,318546.1360186486,740,256,34.5945945945946,46.51476256001058,8,39.71493963592626
500,unseen_predevelopment,tp_500_unseen_predevelopment,2010-01-01,2023-07-31,10,420374.8431926902,1731295.9713880343,3691,1139,30.85884584123544,24.28093463740128,6,31.431459962993184
500,unseen_recent_iv25,tp_500_iv25,2023-08-06,2026-08-05,10,-4065.3334688014393,302026.340971415,751,227,30.22636484687084,-1.3460195080091373,3,
550,current_mature,tp_550_current_mature,2023-08-06,2026-08-05,10,159664.47878966673,188021.60255431628,458,176,38.42794759825328,84.9181565419018,9,31.239081332181527
550,unseen_recent,tp_550_unseen_recent,2023-08-06,2026-08-05,10,159161.73058735978,318546.1360186486,740,254,34.32432432432432,49.96504825851725,7,38.79833518485724
550,unseen_predevelopment,tp_550_unseen_predevelopment,2010-01-01,2023-07-31,10,434333.1406391744,1731295.9713880343,3691,1125,30.479544838797075,25.0871686769395,7,30.807918731008687
550,unseen_recent_iv25,tp_550_iv25,2023-08-06,2026-08-05,10,-3335.669557346825,302026.340971415,751,227,30.22636484687084,-1.1044300131631652,4,
600,current_mature,tp_600_current_mature,2023-08-06,2026-08-05,10,169768.45950312956,188021.60255431628,458,175,38.209606986899566,90.2919968752454,9,31.59851010329738
600,unseen_recent,tp_600_unseen_recent,2023-08-06,2026-08-05,10,158043.4376273261,318546.1360186486,740,252,34.054054054054056,49.61398672187119,7,38.148193633500846
600,unseen_predevelopment,tp_600_unseen_predevelopment,2010-01-01,2023-07-31,10,444672.70294665627,1731295.9713880343,3691,1117,30.262801408832296,25.684383854376332,7,31.52643252368245
600,unseen_recent_iv25,tp_600_iv25,2023-08-06,2026-08-05,10,-271.9402431576955,302026.340971415,751,227,30.22636484687084,-0.0900385848078837,4,
650,current_mature,tp_650_current_mature,2023-08-06,2026-08-05,10,174199.4017632513,188021.60255431628,458,174,37.99126637554585,92.6486102643062,9,32.38428765290375
650,unseen_recent,tp_650_unseen_recent,2023-08-06,2026-08-05,10,158646.03782270482,318546.1360186486,740,250,33.78378378378378,49.80315875293405,8,36.77940016807496
650,unseen_predevelopment,tp_650_unseen_predevelopment,2010-01-01,2023-07-31,10,437605.6292494992,1731295.9713880343,3691,1106,29.96477919263073,25.27618827060846,7,31.058715183079645
650,unseen_recent_iv25,tp_650_iv25,2023-08-06,2026-08-05,10,1645.750293956832,302026.340971415,751,227,30.22636484687084,0.544902901072656,3,2228.404206653079
700,current_mature,tp_700_current_mature,2023-08-06,2026-08-05,10,186344.51330932323,188021.60255431628,458,174,37.99126637554585,99.1080337460114,9,32.133190604583206
700,unseen_recent,tp_700_unseen_recent,2023-08-06,2026-08-05,10,155258.64432165682,318546.1360186486,740,249,33.648648648648646,48.739766949352514,7,39.32981246482956
700,unseen_predevelopment,tp_700_unseen_predevelopment,2010-01-01,2023-07-31,10,417448.82619244704,1731295.9713880343,3691,1097,29.720942833920343,24.111927312911448,6,31.475074699612502
