tp_pct,current_profit,unseen_recent_profit,unseen_predevelopment_profit,current_pop_pct,unseen_recent_pop_pct,unseen_predevelopment_pop_pct,median_pop_pct,worst_pop_pct,dispersion_pop_pct,iv25_profit,iv25_pop_pct,combined_adverse_profit,combined_adverse_pop_pct,positive_base_samples,robust_score,iv25_pass,recommended_eligible
500,150810.8779516078,148170.97881316274,420374.8431926902,80.20933547146056,46.51476256001058,24.28093463740128,46.51476256001058,24.28093463740128,55.92840083405928,-4065.3334688014393,-1.3460195080091373,-10728.0462509631,-4.58290470494812,3,50.265969753602334,False,False
550,159664.47878966673,159161.73058735978,434333.1406391744,84.9181565419018,49.96504825851725,25.0871686769395,49.96504825851725,25.0871686769395,59.830987864962296,-3335.669557346825,-1.1044300131631652,-11638.438793083882,-4.971814499614642,3,53.53398441724266,False,False
600,169768.45950312956,158043.4376273261,444672.70294665627,90.2919968752454,49.61398672187119,25.684383854376332,49.61398672187119,25.684383854376332,64.60761302086907,-271.9402431576955,-0.0900385848078837,-9329.959226707168,-3.985657130552715,3,52.765036695929,False,False
650,174199.4017632513,158646.03782270482,437605.6292494992,92.6486102643062,49.80315875293405,25.27618827060846,49.80315875293405,25.27618827060846,67.37242199369774,1645.750293956832,0.544902901072656,-8123.723181245109,-3.470366208169732,3,52.33538958918362,True,True
700,186344.51330932323,155258.64432165682,417448.82619244704,99.1080337460114,48.739766949352514,24.111927312911448,48.739766949352514,24.111927312911448,74.99610643309995,3683.287154114207,1.2195251388562856,-7060.84633028975,-3.016316774836383,3,49.54631464084325,True,True
750,184167.6277915467,156852.2462003947,429595.1597733355,97.9502489552198,49.240040441492624,24.813501958819643,49.240040441492624,24.813501958819643,73.13674699640016,5007.322067723832,1.657909059063741,-6909.663356199626,-2.9517330522220737,3,50.67627937144242,True,True
800,187514.86941393968,163572.95544251113,429001.446487364,99.7304920639477,51.34984761922684,24.779208961216494,51.34984761922684,24.779208961216494,74.9512831027312,8482.300338474877,2.8084637621980386,-6283.404501567729,-2.684202079268794,3,52.496759634425416,True,True
850,187235.3701297608,162603.9325383887,418931.3416945037,99.58183931320956,51.04564587431361,24.19755770347188,51.04564587431361,24.19755770347188,75.38428160973768,8463.86750618556,2.8023607076664265,-7518.1076662784,-3.2116538454521173,3,51.836782484588895,True,True
900,196641.87596480505,166288.97446237228,407393.8585043899,104.58472499616023,52.202477336795326,23.53115037735399,52.202477336795326,23.53115037735399,81.05357461880624,6377.31441720872,2.1115093460713394,-7498.563807584891,-3.2033049215321365,3,51.81001633265138,True,True
950,206480.3773735169,165198.60917753165,393842.10301379807,109.81736915781696,51.86018303102582,22.748398282128647,51.86018303102582,22.748398282128647,87.06897087568831,4131.904600330301,1.3680610065468963,-7271.009647337349,-3.106096258628082,3,50.1740365407369,True,True
1000,199130.6106065721,169065.00457182323,388191.285875792,105.90836792226924,53.073946111820256,22.422005959187143,53.073946111820256,22.422005959187143,83.48636196308209,5689.5780386585575,1.883801929447287,-7043.455487089799,-3.0088875957240244,3,51.76199479695151,True,True
