scenario,group_type,group,pnl,share_of_total_pnl_pct,share_of_abs_group_pnl_pct
current_mature,family,meta,-10779.907309564882,-7.14796403017025,6.253909611195081
current_mature,family,apple,20694.61362539604,13.722228732092207,12.005877168999232
current_mature,family,microsoft,30918.205970708623,20.501310244099006,17.93704342054575
current_mature,family,netflix,9533.712896365487,6.321634769227101,5.530936120392414
current_mature,family,palantir,10471.802905571676,6.943665501988436,6.075164373592252
current_mature,family,ibm,3941.6813882459946,2.6136585382858133,2.2867468532264588
current_mature,family,nvidia,27055.20085196741,17.939820535126703,15.69594021377183
current_mature,family,alphabet,44877.588737702856,29.757527671248738,26.035509905076218
current_mature,family,amazon,4496.085363546625,2.981273913801714,2.6083815621391198
current_mature,family,tesla,9601.89352166798,6.366844124300527,5.570490771061647
current_mature,issuer,Direxion,137267.30304169378,91.01949733741364,91.01949733741367
current_mature,issuer,Tradr,3941.6813882459946,2.6136585382858133,2.613658538285814
current_mature,issuer,REX Shares,9601.89352166798,6.366844124300527,6.3668441243005285
current_mature,symbol,METU,-10779.907309564882,-7.14796403017025,6.253909611195081
current_mature,symbol,AAPU,20694.61362539604,13.722228732092207,12.005877168999232
current_mature,symbol,MSFU,30918.205970708623,20.501310244099006,17.93704342054575
current_mature,symbol,NFXL,9533.712896365487,6.321634769227101,5.530936120392414
current_mature,symbol,PLTU,10471.802905571676,6.943665501988436,6.075164373592252
current_mature,symbol,IBX,3941.6813882459946,2.6136585382858133,2.2867468532264588
current_mature,symbol,NVDU,27055.20085196741,17.939820535126703,15.69594021377183
current_mature,symbol,GGLL,44877.588737702856,29.757527671248738,26.035509905076218
current_mature,symbol,AMZU,4496.085363546625,2.981273913801714,2.6083815621391198
current_mature,symbol,TSLT,9601.89352166798,6.366844124300527,5.570490771061647
unseen_predevelopment,family,sp500,-26146.924485907613,-6.219907044704479,4.363872433241865
unseen_predevelopment,family,nasdaq100,116564.53825972264,27.72871406253295,19.454401816142056
unseen_predevelopment,family,semiconductors,132129.95053260558,31.431459962993046,22.052239797671707
unseen_predevelopment,family,technology,116241.1555075721,27.651786825476016,19.400429844094013
unseen_predevelopment,family,consumer_discretionary,52378.30883064774,12.45990564821658,8.741841057791941
unseen_predevelopment,family,financials,-4716.220023978352,-1.1219082445941069,0.787128236165402
unseen_predevelopment,family,dow30,-47412.18983400064,-11.278550703441558,7.91300515392312
unseen_predevelopment,family,sp400,-11121.213182387111,-2.6455467929343652,1.856109526647471
unseen_predevelopment,family,healthcare,34977.73839653814,8.32060694471792,5.837718636777556
unseen_predevelopment,family,energy,57479.69919187883,13.673439341737987,9.593253497544866
unseen_predevelopment,issuer,ProShares,420374.843192692,100.00000000000014,100.0
unseen_predevelopment,symbol,SSO,-26146.924485907613,-6.219907044704479,4.363872433241865
unseen_predevelopment,symbol,QLD,116564.53825972264,27.72871406253295,19.454401816142056
unseen_predevelopment,symbol,USD,132129.95053260558,31.431459962993046,22.052239797671707
unseen_predevelopment,symbol,ROM,116241.1555075721,27.651786825476016,19.400429844094013
unseen_predevelopment,symbol,UCC,52378.30883064774,12.45990564821658,8.741841057791941
unseen_predevelopment,symbol,UYG,-4716.220023978352,-1.1219082445941069,0.787128236165402
unseen_predevelopment,symbol,DDM,-47412.18983400064,-11.278550703441558,7.91300515392312
unseen_predevelopment,symbol,MVV,-11121.213182387111,-2.6455467929343652,1.856109526647471
unseen_predevelopment,symbol,RXL,34977.73839653814,8.32060694471792,5.837718636777556
unseen_predevelopment,symbol,DIG,57479.69919187883,13.673439341737987,9.593253497544866
unseen_recent,family,sp500,684.8691332842413,0.4622154343380807,0.391328482698561
unseen_recent,family,nasdaq100,15122.370137416308,10.206027022663504,8.640795552141027
unseen_recent,family,semiconductors,58846.01479360852,39.71493963592641,33.62411964985219
unseen_recent,family,technology,28614.096990264414,19.311539425237747,16.349855198310316
unseen_recent,family,consumer_discretionary,888.2278102234527,0.5994613907109809,0.5075259263015278
unseen_recent,family,financials,39369.3560174474,26.570220655078966,22.49532006391804
unseen_recent,family,dow30,-5753.727840219837,-3.883167868840954,3.2876318644648514
unseen_recent,family,sp400,-7666.441498181758,-5.1740506539062965,4.380540417691185
unseen_recent,family,healthcare,7126.593614604892,4.809709480013131,4.072075861615935
unseen_recent,family,energy,10939.619654714192,7.383105478778441,6.250806983006377
unseen_recent,issuer,ProShares,148170.97881316175,99.99999999999996,100.0
unseen_recent,symbol,SSO,684.8691332842413,0.4622154343380807,0.391328482698561
unseen_recent,symbol,QLD,15122.370137416308,10.206027022663504,8.640795552141027
unseen_recent,symbol,USD,58846.01479360852,39.71493963592641,33.62411964985219
unseen_recent,symbol,ROM,28614.096990264414,19.311539425237747,16.349855198310316
unseen_recent,symbol,UCC,888.2278102234527,0.5994613907109809,0.5075259263015278
unseen_recent,symbol,UYG,39369.3560174474,26.570220655078966,22.49532006391804
unseen_recent,symbol,DDM,-5753.727840219837,-3.883167868840954,3.2876318644648514
unseen_recent,symbol,MVV,-7666.441498181758,-5.1740506539062965,4.380540417691185
unseen_recent,symbol,RXL,7126.593614604892,4.809709480013131,4.072075861615935
unseen_recent,symbol,DIG,10939.619654714192,7.383105478778441,6.250806983006377
