scenario,left_out_family,left_out_pnl,remaining_pnl,remaining_profitable,remaining_pnl_change_pct
current_mature,meta,-10779.907309564882,161590.78526117268,True,7.147964030170249
current_mature,apple,20694.61362539604,130116.26432621176,True,-13.722228732092209
current_mature,microsoft,30918.205970708623,119892.67198089918,True,-20.50131024409901
current_mature,netflix,9533.712896365487,141277.1650552423,True,-6.321634769227101
current_mature,palantir,10471.802905571676,140339.07504603613,True,-6.943665501988436
current_mature,ibm,3941.6813882459946,146869.19656336182,True,-2.6136585382858133
current_mature,nvidia,27055.20085196741,123755.6770996404,True,-17.939820535126707
current_mature,alphabet,44877.588737702856,105933.28921390495,True,-29.75752767124874
current_mature,amazon,4496.085363546625,146314.7925880612,True,-2.9812739138017146
current_mature,tesla,9601.89352166798,141208.98442993982,True,-6.366844124300526
unseen_predevelopment,sp500,-26146.924485907613,446521.76767859893,True,6.219907044704478
unseen_predevelopment,nasdaq100,116564.53825972264,303810.3049329687,True,-27.72871406253295
unseen_predevelopment,semiconductors,132129.95053260558,288244.89266008575,True,-31.431459962993046
unseen_predevelopment,technology,116241.1555075721,304133.6876851192,True,-27.651786825476023
unseen_predevelopment,consumer_discretionary,52378.30883064774,367996.5343620436,True,-12.45990564821658
unseen_predevelopment,financials,-4716.220023978352,425091.06321666966,True,1.1219082445941069
unseen_predevelopment,dow30,-47412.18983400064,467787.033026692,True,11.278550703441558
unseen_predevelopment,sp400,-11121.213182387111,431496.05637507845,True,2.6455467929343652
unseen_predevelopment,healthcare,34977.73839653814,385397.1047961532,True,-8.32060694471792
unseen_predevelopment,energy,57479.69919187883,362895.1440008125,True,-13.67343934173799
unseen_recent,sp500,684.8691332842413,147486.10967987758,True,-0.46221543433808066
unseen_recent,nasdaq100,15122.370137416308,133048.6086757455,True,-10.206027022663502
unseen_recent,semiconductors,58846.01479360852,89324.9640195533,True,-39.714939635926406
unseen_recent,technology,28614.096990264414,119556.8818228974,True,-19.311539425237747
unseen_recent,consumer_discretionary,888.2278102234527,147282.75100293837,True,-0.5994613907109809
unseen_recent,financials,39369.3560174474,108801.62279571441,True,-26.570220655078963
unseen_recent,dow30,-5753.727840219837,153924.70665338164,True,3.883167868840954
unseen_recent,sp400,-7666.441498181758,155837.42031134357,True,5.174050653906296
unseen_recent,healthcare,7126.593614604892,141044.38519855693,True,-4.809709480013131
unseen_recent,energy,10939.619654714192,137231.35915844762,True,-7.38310547877844
