symbol,cost,end_value,unrealized_pnl,return_pct,entries
SOXS,5073.342843269887,459.3225120067427,-4614.020331263145,-90.94635379085284,4
TECS,4995.105902349913,2726.8486307202857,-2268.257271629627,-45.40959322929553,4
NFLX,5037.58639955935,3196.6051620492317,-1840.9812375101183,-36.544906458996984,4
SPXU,5057.501240849118,3653.218543976796,-1404.2826968723225,-27.766334203341756,4
TSLA,5073.282414757168,3755.4792102414985,-1317.8032045156697,-25.97535671742701,4
SQQQ,4999.501042156047,3691.261198465689,-1308.2398436903582,-26.16740816051868,4
SOXL,3593.552828052816,2806.1418804229393,-787.4109476298768,-21.91176769360419,3
MA,5035.311065508857,4960.838984447174,-74.47208106168273,-1.4789966318427772,4
