symbol,entry_date,spot,strike,entry_option_price,budget,contracts,exit_date,exit_option_price,pnl,reason
METU,2024-08-07,25.059999465942383,31,0.5674918570877736,499.9875062468766,8,2024-08-09,1.1066091213211584,431.29381138670783,TARGET_95
METU,2024-08-13,29.21999931335449,35,0.8477400158405839,505.1750240466113,5,2024-09-10,0.0,-423.870007920292,EXPIRY
METU,2024-08-20,28.93000030517578,34,0.9647694549880974,519.9607932830415,5,2024-09-17,0.0,-482.3847274940487,EXPIRY
METU,2024-08-27,27.989999771118164,33,0.9122571332250269,517.169673603353,5,2024-09-24,0.0,-456.1285666125134,EXPIRY
METU,2024-09-03,27.20499992370605,33,0.7175970082034899,495.0840106559486,6,2024-09-19,1.3993141659968054,409.0302946759893,TARGET_95
METU,2024-09-10,26.350000381469727,32,0.06653361270142089,483.78680401322964,72,2024-09-12,0.12974054476777072,455.0899108777188,TARGET_95
METU,2024-09-17,29.690000534057617,35,0.129081049317882,518.7177405686202,40,2024-09-19,0.2517080461698699,490.50798740795165,TARGET_95
METU,2024-09-24,32.470001220703125,38,0.249244671425898,555.025904475494,22,2024-10-01,0.48602710928050114,520.9213632801269,TARGET_95
METU,2024-10-01,33.970001220703125,39,0.2679605061976602,554.9249750721792,20,2024-10-04,0.5225229870854374,509.1249617755545,TARGET_95
METU,2024-10-08,35.810001373291016,41,0.2730587758259153,581.5204167657388,21,2024-11-05,0.0,-573.4234292344222,EXPIRY
METU,2024-10-15,34.900001525878906,40,0.262904623483986,623.6051368607652,23,2024-11-12,0.0,-604.6806340131678,EXPIRY
METU,2024-10-22,34.36989974975586,40,0.10211987296842961,641.8174196506238,62,2024-10-30,0.19913375228843774,601.4860517840505,TARGET_95
METU,2024-10-29,35.5099983215332,41,0.32957982821523846,656.8397863515657,19,2024-11-26,0.0,-626.201673608953,EXPIRY
METU,2024-11-05,32.939998626708984,38,0.42974750992236466,634.2548590246772,14,2024-11-07,0.8380076443486111,571.564188196745,TARGET_95
METU,2024-11-12,34.25,40,0.5080807123897202,723.4251965941675,14,2024-12-10,0.0,-711.3129973456082,EXPIRY
METU,2024-11-19,31.415000915527344,37,0.5682579491905342,715.18679595624,12,2024-12-03,1.1081030009215416,647.8140620772089,TARGET_95
METU,2024-11-26,32.72999954223633,38,0.528073215918262,735.3210569701845,13,2024-12-03,1.0297427710406108,652.1704216590535,TARGET_95
METU,2024-12-03,37.329498291015625,43,0.6587785924187779,758.130256226037,11,2024-12-31,0.0,-724.6564516606556,EXPIRY
METU,2024-12-10,37.869998931884766,43,0.6989397802660893,787.0878950374383,11,2025-01-07,0.0,-768.8337582926981,EXPIRY
METU,2024-12-17,37.810001373291016,43,0.48711462210040946,807.3489208370572,16,2025-01-14,0.0,-779.3833953606552,EXPIRY
