risk_pct,tp_pct,option_profit,executed,wins,losses,skipped,win_rate_pct,premium_deployed,max_concurrent
0.5,95,14544.800742091611,95,59,36,2,62.10526315789474,67679.79034104846,5
0.5,90,13869.806879381536,95,60,35,2,63.1578947368421,67679.79034104846,5
0.5,80,13366.187768494998,95,63,32,2,66.3157894736842,67679.79034104846,5
0.5,85,13099.864995661808,95,61,34,2,64.21052631578948,67679.79034104846,5
0.4,95,12769.12688521068,92,58,34,5,63.04347826086957,52900.85055415888,5
0.4,90,12120.333153827352,92,59,33,5,64.13043478260869,52900.85055415888,5
0.5,75,12013.051590859452,95,64,31,2,67.36842105263158,67679.79034104846,5
0.4,80,11777.030990127494,92,62,30,5,67.3913043478261,52900.85055415888,5
0.4,85,11534.904758780182,92,60,32,5,65.21739130434783,52900.85055415888,5
0.5,70,11207.100453357323,95,65,30,2,68.42105263157895,67679.79034104846,5
0.5,65,11170.497766435099,95,67,28,2,70.52631578947368,67679.79034104846,5
0.5,100,11068.49633192457,95,55,40,2,57.89473684210527,67679.79034104846,5
0.4,100,11041.050927268325,92,55,37,5,59.78260869565217,52900.85055415888,5
0.4,75,10878.564161526865,92,63,29,5,68.47826086956522,52900.85055415888,5
0.3,95,10376.330221635604,89,56,33,8,62.92134831460674,37573.43092196746,5
0.4,70,10283.99403079683,92,64,28,5,69.56521739130434,52900.85055415888,5
0.4,65,10231.880334196161,92,66,26,5,71.73913043478261,52900.85055415888,5
0.5,60,10020.239413825844,95,68,27,2,71.57894736842105,67679.79034104846,5
0.3,90,9968.916282102658,89,57,32,8,64.04494382022472,37573.43092196746,5
0.3,80,9728.52172990439,89,60,29,8,67.41573033707866,37573.43092196746,5
0.3,85,9578.801976751318,89,58,31,8,65.1685393258427,37573.43092196746,5
0.3,75,9312.719592759719,89,61,28,8,68.53932584269663,37573.43092196746,5
0.4,60,8944.309136299325,92,67,25,5,72.82608695652173,52900.85055415888,5
0.5,55,8755.224806092629,95,69,26,2,72.63157894736842,67679.79034104846,5
0.3,70,8714.23746896,89,62,27,8,69.66292134831461,37573.43092196746,5
0.3,65,8681.763644580242,89,64,25,8,71.91011235955057,37573.43092196746,5
0.3,100,8564.211136689219,89,53,36,8,59.55056179775281,37573.43092196746,5
0.3,60,7905.632941283625,89,65,24,8,73.03370786516854,37573.43092196746,5
0.4,55,7791.159613253375,92,68,24,5,73.91304347826086,52900.85055415888,5
0.3,55,6880.324308012159,89,66,23,8,74.15730337078652,37573.43092196746,5
0.5,50,6302.288841479708,95,69,26,2,72.63157894736842,67679.79034104846,5
0.4,50,5846.062518954287,92,68,24,5,73.91304347826086,52900.85055415888,5
0.3,50,5459.041889114126,89,66,23,8,74.15730337078652,37573.43092196746,5
0.2,95,4196.749022526214,75,46,29,22,61.33333333333333,20589.043343901598,5
0.2,80,4127.644191067898,75,50,25,22,66.66666666666666,20589.043343901598,5
0.2,100,4105.485531085115,75,45,30,22,60.0,20589.043343901598,5
0.2,90,3973.339184274608,75,47,28,22,62.66666666666667,20589.043343901598,5
0.2,85,3842.060750332108,75,48,27,22,64.0,20589.043343901598,5
0.2,75,3441.0695373187446,75,50,25,22,66.66666666666666,20589.043343901598,5
0.2,65,3380.1898818411464,75,53,22,22,70.66666666666667,20589.043343901598,5
0.2,70,3241.071568095238,75,51,24,22,68.0,20589.043343901598,5
0.2,60,2653.8494810610664,75,53,22,22,70.66666666666667,20589.043343901598,5
0.1,80,2336.0537647896786,57,42,15,40,73.68421052631578,6942.386087947278,4
0.2,55,2311.1086851067207,75,54,21,22,72.0,20589.043343901598,5
0.1,95,2222.344627077853,57,38,19,40,66.66666666666666,6942.386087947278,5
0.1,85,2196.7012803087405,57,40,17,40,70.17543859649122,6942.386087947278,5
0.1,90,2186.4901026160205,57,39,18,40,68.42105263157895,6942.386087947278,5
0.1,65,2161.6513947727835,57,45,12,40,78.94736842105263,6942.386087947278,4
0.1,100,2100.862486693334,57,37,20,40,64.91228070175438,6942.386087947278,5
0.1,75,2078.319324435874,57,42,15,40,73.68421052631578,6942.386087947278,4
0.1,70,2063.8732263448933,57,43,14,40,75.43859649122807,6942.386087947278,4
0.1,60,1885.7714710539947,57,45,12,40,78.94736842105263,6942.386087947278,4
0.1,55,1609.8915473352047,57,45,12,40,78.94736842105263,6942.386087947278,4
0.2,50,1572.394103525807,75,54,21,22,72.0,20589.043343901598,5
0.1,50,1334.0116236164147,57,45,12,40,78.94736842105263,6942.386087947278,4
