crash,profit,executed,wins,losses,premium_deployed,win_rate_pct,profit_on_premium_pct
COVID crash,6420.375467042417,86,49,37,39179.960293155455,56.97674418604651,16.38688609943289
Dot-com crash,-34829.699753912144,745,338,407,357080.39879501064,45.369127516778526,-9.754021747328352
Housing/GFC crash,-25310.214066161243,440,197,243,215074.70877852244,44.77272727272727,-11.76810337668524
