date,equity,cash,positions,exposure
2023-08-07 00:00:00,100000.0,100000.0,0,0.0
2023-08-07 13:30:00,100000.0,100000.0,0,0.0
2023-08-08 00:00:00,100000.0,100000.0,0,0.0
2023-08-08 13:30:00,100000.0,100000.0,0,0.0
2023-08-09 00:00:00,100000.0,100000.0,0,0.0
2023-08-09 13:30:00,100000.0,100000.0,0,0.0
2023-08-10 00:00:00,100000.0,100000.0,0,0.0
2023-08-10 13:30:00,100000.0,100000.0,0,0.0
2023-08-11 00:00:00,100000.0,100000.0,0,0.0
2023-08-11 13:30:00,100000.0,100000.0,0,0.0
2023-08-14 00:00:00,100000.0,100000.0,0,0.0
2023-08-14 13:30:00,100000.0,100000.0,0,0.0
2023-08-15 00:00:00,100000.0,100000.0,0,0.0
2023-08-15 13:30:00,100000.0,100000.0,0,0.0
2023-08-16 00:00:00,100000.0,100000.0,0,0.0
2023-08-16 13:30:00,100000.0,100000.0,0,0.0
2023-08-17 00:00:00,100000.0,100000.0,0,0.0
2023-08-17 13:30:00,100000.0,100000.0,0,0.0
2023-08-18 00:00:00,100000.0,100000.0,0,0.0
2023-08-18 13:30:00,100000.0,100000.0,0,0.0
2023-08-21 00:00:00,100000.0,100000.0,0,0.0
2023-08-21 13:30:00,100000.0,100000.0,0,0.0
2023-08-22 00:00:00,100000.0,100000.0,0,0.0
2023-08-22 13:30:00,100000.0,100000.0,0,0.0
2023-08-23 00:00:00,100000.0,100000.0,0,0.0
2023-08-23 13:30:00,100000.0,100000.0,0,0.0
2023-08-24 00:00:00,100000.0,100000.0,0,0.0
2023-08-24 13:30:00,100000.0,100000.0,0,0.0
2023-08-25 00:00:00,100000.0,100000.0,0,0.0
2023-08-25 13:30:00,100000.0,100000.0,0,0.0
2023-08-28 00:00:00,100000.0,100000.0,0,0.0
2023-08-28 13:30:00,100000.0,100000.0,0,0.0
2023-08-29 00:00:00,100000.0,100000.0,0,0.0
2023-08-29 13:30:00,100000.0,100000.0,0,0.0
2023-08-30 00:00:00,100000.0,100000.0,0,0.0
2023-08-30 13:30:00,100000.0,100000.0,0,0.0
2023-08-31 00:00:00,100000.0,100000.0,0,0.0
2023-08-31 13:30:00,100000.0,100000.0,0,0.0
2023-09-01 00:00:00,99995.00249875063,90000.0,4,9995.002498750626
2023-09-01 13:30:00,99991.25456012622,82500.3748125937,7,17490.879747532534
2023-09-05 00:00:00,100028.40512646452,83112.07967076202,7,16916.32545570251
2023-09-05 13:30:00,100329.17656272091,84435.10935478487,7,15894.067207936032
2023-09-06 00:00:00,100085.68031914887,81697.08729914048,7,18388.593020008404
2023-09-06 13:30:00,99840.37430756535,74060.51820731959,8,25779.856100245757
2023-09-07 00:00:00,99759.12752910287,79582.57241684494,7,20176.55511225794
2023-09-07 13:30:00,99608.6415475009,81963.19315966695,6,17645.44838783395
2023-09-08 00:00:00,99682.85378183113,80105.77446444587,7,19577.07931738525
2023-09-08 13:30:00,99549.59338717122,78861.50517809088,9,20688.088209080328
2023-09-11 00:00:00,99723.43242940865,79490.56084654377,9,20232.871582864893
2023-09-11 13:30:00,100390.90276572244,79581.0446219306,9,20809.858143791836
2023-09-12 00:00:00,100210.02164444156,78914.88205554754,9,21295.139588894024
2023-09-12 13:30:00,99778.61751242023,82466.06214110216,8,17312.55537131807
2023-09-13 00:00:00,99868.95007573825,82425.81178382022,8,17443.138291918032
