symbol,profit,premium,trades,wins,paused,triggers,start,end
SSO,1305.8936956635284,37411.0941557467,82,23,63,18,2023-08-06,2026-08-05
QLD,16980.608401021545,32234.102830111202,75,31,68,17,2023-08-06,2026-08-05
USD,64884.77458748089,30258.58688132831,76,43,55,14,2023-08-06,2026-08-05
ROM,28171.934074257035,25900.407273240417,66,31,67,17,2023-08-06,2026-08-05
UCC,-69.66613036160511,25751.08053800274,60,13,84,22,2023-08-06,2026-08-05
UYG,43358.14597759314,33003.51234382846,76,29,68,21,2023-08-06,2026-08-05
DDM,-1341.0655760470845,37163.07906937906,80,20,65,18,2023-08-06,2026-08-05
MVV,-10121.812921782934,30436.180292388406,73,17,70,20,2023-08-06,2026-08-05
RXL,13511.016243763404,36989.81153640451,82,23,63,16,2023-08-06,2026-08-05
DIG,6893.127090923195,29398.281098218813,70,18,74,20,2023-08-06,2026-08-05
