date,cash,open_value,equity,drawdown_pct,open_positions,premium_at_risk,premium_at_risk_pct,killed
2009-01-02 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-05 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-06 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-07 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-08 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-09 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-12 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-13 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-14 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-15 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-16 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-20 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-21 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-22 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-23 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-26 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-27 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-28 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-29 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-01-30 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-02 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-03 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-04 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-05 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-06 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-09 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-10 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-11 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-12 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-13 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-17 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-18 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-19 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-20 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-23 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-24 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-25 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-26 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-02-27 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-02 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-03 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-04 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-05 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-06 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-09 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-10 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-11 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-12 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-13 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-16 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-17 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-18 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-19 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-20 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-23 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-24 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-25 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-26 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-27 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-30 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-03-31 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-01 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-02 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-03 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-06 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-07 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-08 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-09 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-13 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
2009-04-14 09:30:00,100000.0,0.0,100000.0,0.0,0,0.0,0.0,False
