symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
AAPU,2023-08-21 09:30:00,2023-11-13 09:30:00,0.546855133171233,0.0,9,21.24,2023-11-13 09:30:00,0.3216579894801614,0.3216579894801614,-492.1696198541097,symbol_cap,risk_current_mature_tp800,AAPL,492.1696198541097
AMZU,2023-08-21 09:30:00,2023-11-13 09:30:00,1.5439423613466259,0.0,3,23.09,2023-11-13 09:30:00,0.5703662668804959,0.5703662668804959,-463.1827084039877,symbol_cap,risk_current_mature_tp800,AMZN,463.1827084039877
GGLL,2023-08-21 09:30:00,2023-11-13 09:30:00,1.2671689933693262,0.0,3,28.82,2023-11-13 09:30:00,0.43509371605524,0.43509371605524,-380.15069801079784,symbol_cap,risk_current_mature_tp800,GOOGL,380.15069801079784
MSFU,2023-08-21 09:30:00,2023-11-13 09:30:00,0.9110754525530016,2.6271336364746105,5,30.47,2023-11-13 09:30:00,0.3480747670576603,0.3480747670576603,858.0290919608045,symbol_cap,risk_current_mature_tp800,MSFT,455.53772627650073
AAPU,2023-08-28 09:30:00,2023-11-20 09:30:00,0.7534229619925217,0.0,6,22.0,2023-11-20 09:30:00,0.37504486933746095,0.37504486933746095,-452.05377719551296,symbol_cap,risk_current_mature_tp800,AAPL,452.05377719551296
GGLL,2023-08-28 09:30:00,2023-11-20 09:30:00,0.8287663751933083,0.0,6,29.68,2023-11-20 09:30:00,0.33517057342259543,0.33517057342259543,-497.259825115985,symbol_cap,risk_current_mature_tp800,GOOGL,497.259825115985
MSFU,2023-08-28 09:30:00,2023-11-20 09:30:00,0.5128068022740111,3.962185668945313,9,30.7,2023-11-20 09:30:00,0.26041168829244343,0.26041168829244343,3104.440980004172,symbol_cap,risk_current_mature_tp800,MSFT,461.52612204660994
AAPU,2023-09-05 09:30:00,2023-11-28 09:30:00,0.4960328310313873,0.0,10,23.7,2023-11-28 09:30:00,0.2895282554286537,0.2895282554286537,-496.0328310313873,symbol_cap,risk_current_mature_tp800,AAPL,496.0328310313873
GGLL,2023-09-05 09:30:00,2023-11-28 09:30:00,0.7359217251146966,0.0,6,31.26,2023-11-28 09:30:00,0.30702308156118435,0.30702308156118435,-441.55303506881796,symbol_cap,risk_current_mature_tp800,GOOGL,441.55303506881796
MSFU,2023-09-05 09:30:00,2023-11-28 09:30:00,0.48949984854815476,3.2350592041015602,10,32.06,2023-11-28 09:30:00,0.25,0.25,2745.5593555534056,symbol_cap,risk_current_mature_tp800,MSFT,489.4998485481548
AAPU,2023-09-11 09:30:00,2023-12-04 09:30:00,0.7890126806045581,0.0,6,21.76,2023-12-04 09:30:00,0.38817818825882905,0.38817818825882905,-473.40760836273483,symbol_cap,risk_current_mature_tp800,AAPL,473.40760836273483
GGLL,2023-09-11 09:30:00,2023-12-04 09:30:00,0.7258152296589966,0.0,6,31.61,2023-12-04 09:30:00,0.3029430312236434,0.3029430312236434,-435.489137795398,symbol_cap,risk_current_mature_tp800,GOOGL,435.489137795398
MSFU,2023-09-11 09:30:00,2023-12-04 09:30:00,0.4980582169205263,0.727912750244144,10,32.66,2023-12-04 09:30:00,0.25,0.25,229.85453332361772,symbol_cap,risk_current_mature_tp800,MSFT,498.0582169205263
AAPU,2023-09-18 09:30:00,2023-12-11 09:30:00,0.8267841319868854,0.2780545043945324,6,21.47,2023-12-11 09:30:00,0.40201803092707755,0.40201803092707755,-329.2377765554118,symbol_cap,risk_current_mature_tp800,AAPL,496.0704791921312
GGLL,2023-09-18 09:30:00,2023-12-11 09:30:00,0.5742158599983416,0.0,8,31.98,2023-12-11 09:30:00,0.26928634353258896,0.26928634353258896,-459.37268799867326,symbol_cap,risk_current_mature_tp800,GOOGL,459.37268799867326
MSFU,2023-09-18 09:30:00,2023-12-11 09:30:00,0.6966333799425248,2.353030395507812,7,31.3,2023-12-11 09:30:00,0.2981176130109096,0.2981176130109096,1159.477910895701,symbol_cap,risk_current_mature_tp800,MSFT,487.6433659597674
AAPU,2023-09-25 09:30:00,2023-12-18 09:30:00,0.705908327336231,1.078834686279297,7,21.09,2023-12-18 09:30:00,0.37009394035019616,0.37009394035019616,261.0484512601462,symbol_cap,risk_current_mature_tp800,AAPL,494.13582913536175
GGLL,2023-09-25 09:30:00,2023-12-18 09:30:00,0.7017679211675798,0.0,7,29.49,2023-12-18 09:30:00,0.3084018930329961,0.3084018930329961,-491.2375448173059,symbol_cap,risk_current_mature_tp800,GOOGL,491.2375448173059
MSFU,2023-09-25 09:30:00,2023-11-27 09:30:00,0.5971945183021079,5.374750664718971,8,29.66,2023-12-18 09:30:00,0.28396646710411744,0.28396646710411744,3822.0449171334903,symbol_cap,risk_current_mature_tp800,MSFT,477.7556146416863
NVDU,2023-09-25 09:30:00,2023-12-18 09:30:00,2.123544562845587,2.8979535675048815,2,19.94,2023-12-18 09:30:00,0.8,0.8,154.88180093185892,symbol_cap,risk_current_mature_tp800,semiconductors,424.7089125691174
NVDU,2023-10-02 09:30:00,2023-12-22 09:30:00,2.3121268623584923,0.18269683837890227,2,21.73,2023-12-25 09:30:00,0.8,0.8,-425.886004795918,symbol_cap,risk_current_mature_tp800,semiconductors,462.42537247169844
AMZU,2023-10-09 09:30:00,2023-12-29 09:30:00,1.0951445471321204,3.082018432617186,4,21.19,2024-01-01 09:30:00,0.4810076537955581,0.4810076537955581,794.7495541940264,symbol_cap,risk_current_mature_tp800,AMZN,438.0578188528482
NVDU,2023-10-09 09:30:00,2023-12-29 09:30:00,2.353893625349391,0.29661384582519545,2,22.09,2024-01-01 09:30:00,0.8,0.8,-411.45595590483913,symbol_cap,risk_current_mature_tp800,semiconductors,470.77872506987825
AMZU,2023-10-16 09:30:00,2024-01-08 09:30:00,1.1421394344295122,1.3694802093505807,4,22.17,2024-01-08 09:30:00,0.4798759741762259,0.4798759741762259,90.93630996842741,symbol_cap,risk_current_mature_tp800,AMZN,456.8557737718049
NVDU,2023-10-16 09:30:00,2024-01-08 09:30:00,1.0861272060238694,1.5039277648925733,4,22.69,2024-01-08 09:30:00,0.4587062755182608,0.4587062755182608,167.12022354748157,symbol_cap,risk_current_mature_tp800,semiconductors,434.4508824095477
AMZU,2023-10-23 09:30:00,2024-01-12 09:30:00,0.9262528064498792,4.15695556640625,5,20.66,2024-01-15 09:30:00,0.4399803144216362,0.4399803144216362,1615.3513799781854,symbol_cap,risk_current_mature_tp800,AMZN,463.1264032249396
NVDU,2023-10-23 09:30:00,2024-01-12 09:30:00,1.3397783948584774,5.5846945953369165,3,20.28,2024-01-15 09:30:00,0.5656614496740572,0.5656614496740572,1273.4748601435317,symbol_cap,risk_current_mature_tp800,semiconductors,401.9335184575432
TSLT,2023-10-30 09:30:00,2024-01-22 09:30:00,1.909374040144379,0.0,2,17.93,2024-01-22 09:30:00,0.8,0.8,-381.8748080288758,symbol_cap,risk_current_mature_tp800,TSLA,381.8748080288758
TSLT,2023-11-06 09:30:00,2024-01-29 09:30:00,2.3325821845329404,0.0,2,21.9,2024-01-29 09:30:00,0.8,0.8,-466.51643690658807,symbol_cap,risk_current_mature_tp800,TSLA,466.51643690658807
AMZU,2023-11-13 09:30:00,2024-02-05 09:30:00,1.854637150130455,3.967514724731444,2,24.53,2024-02-05 09:30:00,0.6215396502428023,0.6215396502428023,422.5755149201978,symbol_cap,risk_current_mature_tp800,AMZN,370.92743002609103
AMZU,2023-11-20 09:30:00,2024-02-12 09:30:00,1.7820411744419218,3.573113555908204,2,25.38,2024-02-12 09:30:00,0.5906982822821212,0.5906982822821212,358.21447629325644,symbol_cap,risk_current_mature_tp800,AMZN,356.40823488838436
