symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
AAPU,2023-08-21 09:30:00,2023-11-13 09:30:00,0.546855133171233,0.0,9,21.24,2023-11-13 09:30:00,0.3216579894801614,0.3216579894801614,-492.1696198541097,symbol_cap,risk_current_mature_tp500,AAPL,492.1696198541097
AMZU,2023-08-21 09:30:00,2023-11-13 09:30:00,1.5439423613466259,0.0,3,23.09,2023-11-13 09:30:00,0.5703662668804959,0.5703662668804959,-463.1827084039877,symbol_cap,risk_current_mature_tp500,AMZN,463.1827084039877
GGLL,2023-08-21 09:30:00,2023-11-13 09:30:00,1.2671689933693262,0.0,3,28.82,2023-11-13 09:30:00,0.43509371605524,0.43509371605524,-380.15069801079784,symbol_cap,risk_current_mature_tp500,GOOGL,380.15069801079784
MSFU,2023-08-21 09:30:00,2023-11-13 09:30:00,0.9110754525530016,2.6271336364746105,5,30.47,2023-11-13 09:30:00,0.3480747670576603,0.3480747670576603,858.0290919608045,symbol_cap,risk_current_mature_tp500,MSFT,455.53772627650073
AAPU,2023-08-28 09:30:00,2023-11-20 09:30:00,0.7534229619925217,0.0,6,22.0,2023-11-20 09:30:00,0.37504486933746095,0.37504486933746095,-452.05377719551296,symbol_cap,risk_current_mature_tp500,AAPL,452.05377719551296
GGLL,2023-08-28 09:30:00,2023-11-20 09:30:00,0.8287663751933083,0.0,6,29.68,2023-11-20 09:30:00,0.33517057342259543,0.33517057342259543,-497.259825115985,symbol_cap,risk_current_mature_tp500,GOOGL,497.259825115985
MSFU,2023-08-28 09:30:00,2023-11-14 09:30:00,0.5128068022740111,3.0768408136440666,9,30.7,2023-11-20 09:30:00,0.26041168829244343,0.26041168829244343,2307.63061023305,symbol_cap,risk_current_mature_tp500,MSFT,461.52612204660994
AAPU,2023-09-05 09:30:00,2023-11-28 09:30:00,0.4960328310313873,0.0,10,23.7,2023-11-28 09:30:00,0.2895282554286537,0.2895282554286537,-496.0328310313873,symbol_cap,risk_current_mature_tp500,AAPL,496.0328310313873
GGLL,2023-09-05 09:30:00,2023-11-28 09:30:00,0.7359217251146966,0.0,6,31.26,2023-11-28 09:30:00,0.30702308156118435,0.30702308156118435,-441.55303506881796,symbol_cap,risk_current_mature_tp500,GOOGL,441.55303506881796
MSFU,2023-09-05 09:30:00,2023-11-27 09:30:00,0.48949984854815476,2.9369990912889286,10,32.06,2023-11-28 09:30:00,0.25,0.25,2447.4992427407738,symbol_cap,risk_current_mature_tp500,MSFT,489.4998485481548
AAPU,2023-09-11 09:30:00,2023-12-04 09:30:00,0.7890126806045581,0.0,6,21.76,2023-12-04 09:30:00,0.38817818825882905,0.38817818825882905,-473.40760836273483,symbol_cap,risk_current_mature_tp500,AAPL,473.40760836273483
GGLL,2023-09-11 09:30:00,2023-12-04 09:30:00,0.7258152296589966,0.0,6,31.61,2023-12-04 09:30:00,0.3029430312236434,0.3029430312236434,-435.489137795398,symbol_cap,risk_current_mature_tp500,GOOGL,435.489137795398
MSFU,2023-09-11 09:30:00,2023-12-04 09:30:00,0.4980582169205263,0.727912750244144,10,32.66,2023-12-04 09:30:00,0.25,0.25,229.85453332361772,symbol_cap,risk_current_mature_tp500,MSFT,498.0582169205263
AAPU,2023-09-18 09:30:00,2023-12-11 09:30:00,0.8267841319868854,0.2780545043945324,6,21.47,2023-12-11 09:30:00,0.40201803092707755,0.40201803092707755,-329.2377765554118,symbol_cap,risk_current_mature_tp500,AAPL,496.0704791921312
GGLL,2023-09-18 09:30:00,2023-12-11 09:30:00,0.5742158599983416,0.0,8,31.98,2023-12-11 09:30:00,0.26928634353258896,0.26928634353258896,-459.37268799867326,symbol_cap,risk_current_mature_tp500,GOOGL,459.37268799867326
MSFU,2023-09-18 09:30:00,2023-11-29 09:30:00,0.6966333799425248,4.179800279655149,7,31.3,2023-12-11 09:30:00,0.2981176130109096,0.2981176130109096,2438.216829798837,symbol_cap,risk_current_mature_tp500,MSFT,487.6433659597674
AAPU,2023-09-25 09:30:00,2023-12-18 09:30:00,0.705908327336231,1.078834686279297,7,21.09,2023-12-18 09:30:00,0.37009394035019616,0.37009394035019616,261.0484512601462,symbol_cap,risk_current_mature_tp500,AAPL,494.13582913536175
