symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family
METU,2024-06-06 09:30:00,2024-08-29 09:30:00,2.967868161167546,0.0,1,27.85,2024-08-29 09:30:00,0.8,0.8,-296.7868161167546,EXPIRY,risk_current_mature_tp500,META
METU,2024-06-10 09:30:00,2024-08-30 09:30:00,3.0648523916938633,0.0,1,28.77,2024-09-02 09:30:00,0.8,0.8,-306.4852391693863,EXPIRY,risk_current_mature_tp500,META
METU,2024-06-17 09:30:00,2024-09-09 09:30:00,3.1181108291249,0.0,1,29.27,2024-09-09 09:30:00,0.8,0.8,-311.81108291249,EXPIRY,risk_current_mature_tp500,META
METU,2024-06-24 09:30:00,2024-09-16 09:30:00,3.0115939542695145,0.0,1,28.27,2024-09-16 09:30:00,0.8,0.8,-301.15939542695145,EXPIRY,risk_current_mature_tp500,META
METU,2024-07-01 09:30:00,2024-09-23 09:30:00,3.0724012358189263,2.2548371887207033,1,28.84,2024-09-23 09:30:00,0.8,0.8,-81.7564047098223,EXPIRY,risk_current_mature_tp500,META
METU,2024-07-08 09:30:00,2024-09-30 09:30:00,2.175273459377486,0.5103290557861335,2,31.45,2024-09-30 09:30:00,0.5840242061467613,0.5840242061467613,-332.9888807182705,EXPIRY,risk_current_mature_tp500,META
METU,2024-07-15 09:30:00,2024-10-07 09:30:00,2.3431801966270047,5.679474334716797,2,27.52,2024-10-07 09:30:00,0.6767917154052014,0.6767917154052014,667.2588276179586,EXPIRY,risk_current_mature_tp500,META
METU,2024-07-22 09:30:00,2024-10-14 09:30:00,2.921906393064587,7.543892974853524,1,26.38,2024-10-14 09:30:00,0.8250339232360746,0.8250339232360746,462.19865817889365,EXPIRY,risk_current_mature_tp500,META
METU,2024-09-16 09:30:00,2024-12-09 09:30:00,1.3078479802810925,4.808989868164062,3,30.64,2024-12-09 09:30:00,0.42721575754644836,0.42721575754644836,1050.342566364891,EXPIRY,risk_current_mature_tp500,META
METU,2024-09-23 09:30:00,2024-12-16 09:30:00,1.7982586969225505,2.4595344543457003,2,34.2,2024-12-16 09:30:00,0.4862859802916345,0.4862859802916345,132.25515148462995,EXPIRY,risk_current_mature_tp500,META
METU,2024-09-30 09:30:00,2024-12-23 09:30:00,1.7558071253388015,0.0,2,35.16,2024-12-23 09:30:00,0.47102018722231376,0.47102018722231376,-351.1614250677603,EXPIRY,risk_current_mature_tp500,META
METU,2024-10-07 09:30:00,2024-12-30 09:30:00,1.4754663203181853,0.0,3,36.52,2024-12-30 09:30:00,0.4132889104157599,0.4132889104157599,-442.6398960954556,EXPIRY,risk_current_mature_tp500,META
METU,2024-10-14 09:30:00,2025-01-06 09:30:00,1.4338525695287938,0.0,3,37.32,2025-01-06 09:30:00,0.401328930197989,0.401328930197989,-430.15577085863816,EXPIRY,risk_current_mature_tp500,META
METU,2024-10-21 09:30:00,2025-01-13 09:30:00,1.0448792732845789,0.0,4,35.2,2025-01-13 09:30:00,0.3467215617941436,0.3467215617941436,-417.95170931383154,EXPIRY,risk_current_mature_tp500,META
METU,2024-10-28 09:30:00,2025-01-17 09:30:00,1.5054675513616118,0.0,3,35.48,2025-01-20 09:30:00,0.42553258872031086,0.42553258872031086,-451.6402654084835,EXPIRY,risk_current_mature_tp500,META
METU,2024-12-30 09:30:00,2025-03-24 09:30:00,2.6550196962462422,0.0,1,35.86,2025-03-24 09:30:00,0.6124988708493057,0.6124988708493057,-265.5019696246242,EXPIRY,risk_current_mature_tp500,META
METU,2025-01-06 09:30:00,2025-03-31 09:30:00,3.0636559191188883,0.0,1,40.58,2025-03-31 09:30:00,0.6208112846758447,0.6208112846758447,-306.3655919118888,EXPIRY,risk_current_mature_tp500,META
METU,2025-01-13 09:30:00,2025-04-07 09:30:00,2.6555498993681095,0.0,1,37.66,2025-04-07 09:30:00,0.5922080856150951,0.5922080856150951,-265.55498993681095,EXPIRY,risk_current_mature_tp500,META
METU,2025-01-21 09:30:00,2025-04-15 09:30:00,2.7908262610540984,0.0,1,38.5,2025-04-15 09:30:00,0.6033972003674073,0.6033972003674073,-279.0826261054098,EXPIRY,risk_current_mature_tp500,META
METU,2025-01-27 09:30:00,2025-04-21 09:30:00,3.079111468169291,0.0,1,44.0,2025-04-21 09:30:00,0.5890903030940907,0.5890903030940907,-307.9111468169291,EXPIRY,risk_current_mature_tp500,META
METU,2025-02-03 09:30:00,2025-04-28 09:30:00,3.058725513238743,0.0,1,48.98,2025-04-28 09:30:00,0.5446719080318262,0.5446719080318262,-305.8725513238743,EXPIRY,risk_current_mature_tp500,META
METU,2025-02-10 09:30:00,2025-05-05 09:30:00,2.1605302836135536,0.0,2,51.74,2025-05-05 09:30:00,0.42144875936807663,0.42144875936807663,-432.1060567227107,EXPIRY,risk_current_mature_tp500,META
METU,2025-02-18 09:30:00,2025-05-13 09:30:00,1.3982864127674315,0.0,3,51.44,2025-05-13 09:30:00,0.3307951722940245,0.3307951722940245,-419.48592383022947,EXPIRY,risk_current_mature_tp500,META
METU,2025-05-12 09:30:00,2025-08-04 09:30:00,4.975712019795791,10.42934616088867,1,37.17,2025-08-04 09:30:00,0.9570448476865658,0.9570448476865658,545.3634141092879,EXPIRY,risk_current_mature_tp500,META
METU,2025-05-19 09:30:00,2025-08-11 09:30:00,4.063010263738821,8.97367584228516,1,37.13,2025-08-11 09:30:00,0.8167479614115865,0.8167479614115865,491.06655785463397,EXPIRY,risk_current_mature_tp500,META
METU,2025-05-27 09:30:00,2025-08-19 09:30:00,4.006353614532257,7.0377862548828105,1,37.24,2025-08-19 09:30:00,0.8064018313689284,0.8064018313689284,303.1432640350554,EXPIRY,risk_current_mature_tp500,META
METU,2025-06-02 09:30:00,2025-08-25 09:30:00,3.812498031530138,3.7951962280273435,1,40.57,2025-08-25 09:30:00,0.7277891980861673,0.7277891980861673,-1.7301803502794755,EXPIRY,risk_current_mature_tp500,META
METU,2025-06-09 09:30:00,2025-08-29 09:30:00,4.071988709272382,0.0,1,43.21,2025-09-01 09:30:00,0.7296985452806924,0.7296985452806924,-407.1988709272382,EXPIRY,risk_current_mature_tp500,META
METU,2025-06-16 09:30:00,2025-09-08 09:30:00,2.4070408263520147,0.0,2,44.14,2025-09-08 09:30:00,0.49814432446604345,0.49814432446604345,-481.40816527040295,EXPIRY,risk_current_mature_tp500,META
METU,2025-06-23 09:30:00,2025-09-15 09:30:00,2.728364209355357,1.8161227416992176,1,43.53,2025-09-15 09:30:00,0.5459551473534583,0.5459551473534583,-91.22414676561394,EXPIRY,risk_current_mature_tp500,META
METU,2025-06-30 09:30:00,2025-09-22 09:30:00,2.9826325199160397,0.0,1,48.53,2025-09-22 09:30:00,0.538832271108472,0.538832271108472,-298.26325199160397,EXPIRY,risk_current_mature_tp500,META
METU,2025-07-07 09:30:00,2025-09-29 09:30:00,2.4595264794356524,0.0,2,45.9,2025-09-29 09:30:00,0.4927190271209025,0.4927190271209025,-491.9052958871305,EXPIRY,risk_current_mature_tp500,META
METU,2025-07-14 09:30:00,2025-10-06 09:30:00,2.3918666345127626,0.0,2,45.98,2025-10-06 09:30:00,0.48315845164902155,0.48315845164902155,-478.37332690255255,EXPIRY,risk_current_mature_tp500,META
METU,2025-09-02 09:30:00,2025-11-25 09:30:00,2.1091767124683045,0.0,2,46.34,2025-11-25 09:30:00,0.44406262144924025,0.44406262144924025,-421.8353424936609,EXPIRY,risk_current_mature_tp500,META
METU,2025-09-08 09:30:00,2025-12-01 09:30:00,2.071213247324545,0.0,2,48.34,2025-12-01 09:30:00,0.42803435136769524,0.42803435136769524,-414.242649464909,EXPIRY,risk_current_mature_tp500,META
METU,2025-09-15 09:30:00,2025-12-08 09:30:00,1.9081520649846482,0.0,2,49.88,2025-12-08 09:30:00,0.4000831536308816,0.4000831536308816,-381.63041299692964,EXPIRY,risk_current_mature_tp500,META
METU,2025-09-22 09:30:00,2025-12-15 09:30:00,1.425665951641566,0.0,3,49.84,2025-12-15 09:30:00,0.3398270198865609,0.3398270198865609,-427.69978549246974,EXPIRY,risk_current_mature_tp500,META
METU,2025-09-29 09:30:00,2025-12-22 09:30:00,1.3839937037272403,0.0,3,46.96,2025-12-22 09:30:00,0.3451067117961428,0.3451067117961428,-415.1981111181721,EXPIRY,risk_current_mature_tp500,META
METU,2025-12-01 09:30:00,2026-02-23 09:30:00,2.229266710781202,0.0,2,33.21,2026-02-23 09:30:00,0.5720473377283622,0.5720473377283622,-445.8533421562404,EXPIRY,risk_current_mature_tp500,META
METU,2025-12-08 09:30:00,2026-03-02 09:30:00,2.4178781370612956,0.0,2,35.81,2026-03-02 09:30:00,0.5745015394723003,0.5745015394723003,-483.5756274122591,EXPIRY,risk_current_mature_tp500,META
METU,2025-12-15 09:30:00,2026-03-09 09:30:00,2.125658235533738,0.0,2,33.75,2026-03-09 09:30:00,0.5482841229422682,0.5482841229422682,-425.13164710674755,EXPIRY,risk_current_mature_tp500,META
METU,2025-12-22 09:30:00,2026-03-16 09:30:00,2.240467754247426,0.0,2,35.08,2026-03-16 09:30:00,0.553107388260998,0.553107388260998,-448.0935508494852,EXPIRY,risk_current_mature_tp500,META
METU,2025-12-29 09:30:00,2026-03-23 09:30:00,1.5239309916404444,0.0,3,34.72,2026-03-23 09:30:00,0.43432536334747496,0.43432536334747496,-457.1792974921333,EXPIRY,risk_current_mature_tp500,META
METU,2026-01-05 09:30:00,2026-03-30 09:30:00,1.1616560562333973,0.0,4,34.62,2026-03-30 09:30:00,0.37074061640445033,0.37074061640445033,-464.6624224933589,EXPIRY,risk_current_mature_tp500,META
METU,2026-03-09 09:30:00,2026-06-01 09:30:00,1.770641083121511,0.0,2,32.09,2026-06-01 09:30:00,0.5021018855932257,0.5021018855932257,-354.1282166243022,EXPIRY,risk_current_mature_tp500,META
METU,2026-03-16 09:30:00,2026-06-08 09:30:00,1.915547432744587,0.0,2,30.04,2026-06-08 09:30:00,0.5526490284964801,0.5526490284964801,-383.1094865489174,EXPIRY,risk_current_mature_tp500,META
METU,2026-03-23 09:30:00,2026-06-15 09:30:00,1.7633743839777392,0.0,2,27.74,2026-06-15 09:30:00,0.5513433532470832,0.5513433532470832,-352.67487679554785,EXPIRY,risk_current_mature_tp500,META
AAPU,2023-08-07 09:30:00,2023-10-30 09:30:00,0.6088682791069822,0.0,8,21.81,2023-10-30 09:30:00,0.33558944374055827,0.33558944374055827,-487.0946232855857,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-08-14 09:30:00,2023-11-06 09:30:00,0.5548381028898124,0.0,9,21.93,2023-11-06 09:30:00,0.31801145827649474,0.31801145827649474,-499.3542926008312,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-08-21 09:30:00,2023-11-13 09:30:00,0.546855133171233,0.0,9,21.24,2023-11-13 09:30:00,0.3216579894801614,0.3216579894801614,-492.1696198541097,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-08-28 09:30:00,2023-11-20 09:30:00,0.7534229619925217,0.0,6,22.0,2023-11-20 09:30:00,0.37504486933746095,0.37504486933746095,-452.05377719551296,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-09-05 09:30:00,2023-11-28 09:30:00,0.4960328310313873,0.0,10,23.7,2023-11-28 09:30:00,0.2895282554286537,0.2895282554286537,-496.0328310313873,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-09-11 09:30:00,2023-12-04 09:30:00,0.7890126806045581,0.0,6,21.76,2023-12-04 09:30:00,0.38817818825882905,0.38817818825882905,-473.40760836273483,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-09-18 09:30:00,2023-12-11 09:30:00,0.8267841319868854,0.2780545043945324,6,21.47,2023-12-11 09:30:00,0.40201803092707755,0.40201803092707755,-329.2377765554118,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-09-25 09:30:00,2023-12-18 09:30:00,0.705908327336231,1.078834686279297,7,21.09,2023-12-18 09:30:00,0.37009394035019616,0.37009394035019616,261.0484512601462,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-11-13 09:30:00,2024-02-05 09:30:00,0.5432540443124845,0.0,9,22.47,2024-02-05 09:30:00,0.31141594786522053,0.31141594786522053,-488.928639881236,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-11-20 09:30:00,2024-02-12 09:30:00,0.5009773676541958,0.0,9,23.7,2024-02-12 09:30:00,0.290860305254439,0.290860305254439,-450.8796308887762,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-11-27 09:30:00,2024-02-16 09:30:00,0.35666331851148225,0.0,14,23.32,2024-02-19 09:30:00,0.25,0.25,-499.3286459160752,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-12-04 09:30:00,2024-02-26 09:30:00,0.355575235872462,0.0,14,23.27,2024-02-26 09:30:00,0.25,0.25,-497.80533022144675,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-12-11 09:30:00,2024-03-04 09:30:00,0.36582308360385163,0.0,13,23.92,2024-03-04 09:30:00,0.25,0.25,-475.5700086850071,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-12-18 09:30:00,2024-03-11 09:30:00,0.3713812285327194,0.0,13,24.39,2024-03-11 09:30:00,0.25,0.25,-482.7955970925352,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2023-12-26 09:30:00,2024-03-19 09:30:00,0.36336202933323847,0.0,13,23.81,2024-03-19 09:30:00,0.25,0.25,-472.37063813321004,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-03-04 09:30:00,2024-05-24 09:30:00,0.31055906691898016,1.0958763885498044,16,20.32,2024-05-27 09:30:00,0.25,0.25,1256.5077146093188,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-03-11 09:30:00,2024-05-16 09:30:00,0.3060341158465274,1.8362046950791644,16,19.88,2024-06-03 09:30:00,0.25091116452536827,0.25091116452536827,2448.2729267722193,TARGET,risk_current_mature_tp500,AAPL
AAPU,2024-03-18 09:30:00,2024-06-03 09:30:00,0.3590974393861135,2.154584636316681,13,20.01,2024-06-10 09:30:00,0.26900664117583156,0.26900664117583156,2334.133356009738,TARGET,risk_current_mature_tp500,AAPL
AAPU,2024-05-20 09:30:00,2024-07-15 09:30:00,1.3701196701772034,8.22071802106322,3,23.89,2024-08-12 09:30:00,0.5150586973052756,0.5150586973052756,2055.179505265805,TARGET,risk_current_mature_tp500,AAPL
AAPU,2024-05-28 09:30:00,2024-07-15 09:30:00,1.4616085570672235,8.76965134240334,3,23.6,2024-08-20 09:30:00,0.5417401935774566,0.5417401935774566,2192.412835600835,TARGET,risk_current_mature_tp500,AAPL
AAPU,2024-06-03 09:30:00,2024-06-12 09:30:00,0.5235366492487454,3.1412198954924726,9,24.53,2024-08-26 09:30:00,0.29221250140535215,0.29221250140535215,2355.9149216193546,TARGET,risk_current_mature_tp500,AAPL
AAPU,2024-06-10 09:30:00,2024-06-12 09:30:00,0.6389271122927065,3.833562673756239,7,24.24,2024-09-02 09:30:00,0.32568064649836825,0.32568064649836825,2236.2448930244727,TARGET,risk_current_mature_tp500,AAPL
AAPU,2024-06-17 09:30:00,2024-09-09 09:30:00,2.263795236642869,0.0,2,30.26,2024-09-09 09:30:00,0.6168032102952564,0.6168032102952564,-452.7590473285738,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-06-24 09:30:00,2024-09-16 09:30:00,2.180411183451529,0.0,2,27.87,2024-09-16 09:30:00,0.637287173798251,0.637287173798251,-436.08223669030576,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-07-01 09:30:00,2024-09-23 09:30:00,2.5775613048502315,0.0,1,30.1,2024-09-23 09:30:00,0.6796497260848814,0.6796497260848814,-257.75613048502316,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-07-08 09:30:00,2024-09-30 09:30:00,2.853687184490852,0.0,1,33.13,2024-09-30 09:30:00,0.6823582090034611,0.6823582090034611,-285.3687184490852,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-07-15 09:30:00,2024-10-07 09:30:00,1.8521008720753045,0.0,2,35.01,2024-10-07 09:30:00,0.4882385031382646,0.4882385031382646,-370.4201744150609,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-07-22 09:30:00,2024-10-14 09:30:00,1.661487129051375,0.0,3,31.84,2024-10-14 09:30:00,0.4841193032331488,0.4841193032331488,-498.44613871541253,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-09-23 09:30:00,2024-12-16 09:30:00,1.515989861329066,2.879683532714843,3,31.71,2024-12-16 09:30:00,0.4580579690384939,0.4580579690384939,409.108101415733,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-09-30 09:30:00,2024-12-23 09:30:00,1.6843062382655045,2.157204132080075,2,33.52,2024-12-23 09:30:00,0.47281409750589715,0.47281409750589715,94.5795787629141,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-10-07 09:30:00,2024-12-30 09:30:00,1.658598041057612,4.430449981689453,3,30.23,2024-12-30 09:30:00,0.4999993351590679,0.4999993351590679,831.5555821895523,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-10-14 09:30:00,2025-01-06 09:30:00,1.758018258736989,0.0,2,32.84,2025-01-06 09:30:00,0.4922700276416473,0.4922700276416473,-351.6036517473978,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-10-21 09:30:00,2025-01-13 09:30:00,1.4138106289572363,0.0,3,34.26,2025-01-13 09:30:00,0.41868752852218966,0.41868752852218966,-424.1431886871709,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-10-28 09:30:00,2025-01-17 09:30:00,1.4052055881280427,0.0,3,33.31,2025-01-20 09:30:00,0.4243624028749874,0.4243624028749874,-421.5616764384128,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2024-12-30 09:30:00,2025-03-24 09:30:00,1.0375763670827371,0.0,4,38.13,2025-03-24 09:30:00,0.33098203213527483,0.33098203213527483,-415.03054683309483,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-01-06 09:30:00,2025-03-31 09:30:00,1.272576110585863,0.0,3,35.92,2025-03-31 09:30:00,0.3826902180841184,0.3826902180841184,-381.77283317575893,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-01-13 09:30:00,2025-04-07 09:30:00,1.303210384089601,0.0,3,32.78,2025-04-07 09:30:00,0.409068672141916,0.409068672141916,-390.9631152268803,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-03-17 09:30:00,2025-06-09 09:30:00,1.7091169673569926,0.0,2,26.47,2025-06-09 09:30:00,0.5570473046247438,0.5570473046247438,-341.8233934713985,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-03-24 09:30:00,2025-06-16 09:30:00,1.9879473616235863,0.0,2,27.96,2025-06-16 09:30:00,0.5953939062440732,0.5953939062440732,-397.58947232471724,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-03-31 09:30:00,2025-06-23 09:30:00,2.124713399365195,0.0,2,28.27,2025-06-23 09:30:00,0.619404785703403,0.619404785703403,-424.94267987303897,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-06-02 09:30:00,2025-08-25 09:30:00,1.6913348252669156,2.526741561889647,2,21.69,2025-08-25 09:30:00,0.6356597736592638,0.6356597736592638,167.0813473245463,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-06-09 09:30:00,2025-08-29 09:30:00,1.5954851099463054,3.6756457519531267,3,21.58,2025-09-01 09:30:00,0.6122517002054549,0.6122517002054549,624.0481926020464,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-06-16 09:30:00,2025-09-03 09:30:00,0.8982571249008844,5.389542749405306,5,20.86,2025-09-08 09:30:00,0.429233928709731,0.429233928709731,2245.642812252211,TARGET,risk_current_mature_tp500,AAPL
AAPU,2025-06-23 09:30:00,2025-09-15 09:30:00,0.9602848628076011,4.613907852172851,5,21.46,2025-09-15 09:30:00,0.4399860504916017,0.4399860504916017,1826.8114946826247,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-06-30 09:30:00,2025-09-03 09:30:00,0.7291192034773202,4.374715220863921,6,22.19,2025-09-22 09:30:00,0.36677742251455375,0.36677742251455375,2187.3576104319604,TARGET,risk_current_mature_tp500,AAPL
AAPU,2025-07-07 09:30:00,2025-09-22 09:30:00,0.9206809189175811,5.5240855135054865,5,23.16,2025-09-29 09:30:00,0.40934332809300333,0.40934332809300333,2301.7022972939526,TARGET,risk_current_mature_tp500,AAPL
AAPU,2025-07-14 09:30:00,2025-09-19 09:30:00,0.7597230262717769,4.558338157630661,6,22.82,2025-10-06 09:30:00,0.36974265031129716,0.36974265031129716,2279.169078815331,TARGET,risk_current_mature_tp500,AAPL
AAPU,2025-07-21 09:30:00,2025-09-03 09:30:00,0.504877661074346,3.0292659664460757,9,23.65,2025-10-13 09:30:00,0.2919004024588666,0.2919004024588666,2271.949474834557,TARGET,risk_current_mature_tp500,AAPL
AAPU,2025-07-28 09:30:00,2025-09-03 09:30:00,0.49415429280655054,2.9649257568393033,10,23.93,2025-10-20 09:30:00,0.2877054151817005,0.2877054151817005,2470.7714640327526,TARGET,risk_current_mature_tp500,AAPL
AAPU,2025-09-15 09:30:00,2025-12-03 09:30:00,1.4682119182884108,8.809271509730465,3,28.68,2025-12-08 09:30:00,0.478196085998643,0.478196085998643,2202.317877432616,TARGET,risk_current_mature_tp500,AAPL
AAPU,2025-09-22 09:30:00,2025-12-15 09:30:00,2.1956272725233372,0.47652801513672216,2,33.41,2025-12-15 09:30:00,0.5637310930206207,0.5637310930206207,-343.819851477323,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-09-29 09:30:00,2025-12-22 09:30:00,2.3142919589969555,0.1515763854980463,2,32.89,2025-12-22 09:30:00,0.5914566815418731,0.5914566815418731,-432.5431146997818,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-10-06 09:30:00,2025-12-29 09:30:00,1.9638124310045182,0.22004562377929915,2,33.44,2025-12-29 09:30:00,0.5232343501355047,0.5232343501355047,-348.7533614450438,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-11-24 09:30:00,2026-02-13 09:30:00,0.8654661455455326,0.0,5,37.98,2026-02-16 09:30:00,0.3020514934619505,0.3020514934619505,-432.73307277276626,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-12-01 09:30:00,2026-02-23 09:30:00,0.9823887830885383,0.0,5,39.98,2026-02-23 09:30:00,0.3135590756120472,0.3135590756120472,-491.19439154426914,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-12-08 09:30:00,2026-03-02 09:30:00,1.1161264306949583,0.0,4,38.38,2026-03-02 09:30:00,0.34260214185865606,0.34260214185865606,-446.4505722779833,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2025-12-15 09:30:00,2026-03-09 09:30:00,0.9790053974147526,0.0,5,37.28,2026-03-09 09:30:00,0.3249071509871701,0.3249071509871701,-489.5026987073763,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2026-02-17 09:30:00,2026-05-12 09:30:00,2.9580806556729033,3.421766815185549,1,33.69,2026-05-12 09:30:00,0.6923446231767135,0.6923446231767135,46.36861595126458,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2026-02-23 09:30:00,2026-05-18 09:30:00,2.787129313039726,3.517788391113278,1,34.27,2026-05-18 09:30:00,0.6551740115861018,0.6551740115861018,73.06590780735522,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2026-03-02 09:30:00,2026-05-22 09:30:00,2.9040998365299107,6.831595458984374,1,33.71,2026-05-25 09:30:00,0.6826668281765315,0.6826668281765315,392.7495622454463,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2026-03-09 09:30:00,2026-06-01 09:30:00,2.238979482573205,7.36574676513672,2,32.47,2026-06-01 09:30:00,0.5827725333492384,0.5827725333492384,1025.353456512703,EXPIRY,risk_current_mature_tp500,AAPL
AAPU,2026-05-11 09:30:00,2026-08-03 09:30:00,2.3122217343179994,0.0,2,40.23,2026-08-03 09:30:00,0.5154340361442101,0.5154340361442101,-462.4443468635999,EXPIRY,risk_current_mature_tp500,AAPL
MSFU,2023-08-07 09:30:00,2023-10-30 09:30:00,1.4104317283005088,0.0,3,31.64,2023-10-30 09:30:00,0.43859185903524256,0.43859185903524256,-423.12951849015263,EXPIRY,risk_current_mature_tp500,MSFT
MSFU,2023-08-14 09:30:00,2023-11-06 09:30:00,1.3079199671010429,1.061537780761718,3,30.71,2023-11-06 09:30:00,0.4267776098928712,0.4267776098928712,-73.91465590179749,EXPIRY,risk_current_mature_tp500,MSFT
MSFU,2023-08-21 09:30:00,2023-11-13 09:30:00,0.9110754525530016,2.6271336364746105,5,30.47,2023-11-13 09:30:00,0.3480747670576603,0.3480747670576603,858.0290919608045,EXPIRY,risk_current_mature_tp500,MSFT
MSFU,2023-08-28 09:30:00,2023-11-14 09:30:00,0.5128068022740111,3.0768408136440666,9,30.7,2023-11-20 09:30:00,0.26041168829244343,0.26041168829244343,2307.63061023305,TARGET,risk_current_mature_tp500,MSFT
MSFU,2023-09-05 09:30:00,2023-11-27 09:30:00,0.48949984854815476,2.9369990912889286,10,32.06,2023-11-28 09:30:00,0.25,0.25,2447.4992427407738,TARGET,risk_current_mature_tp500,MSFT
MSFU,2023-09-11 09:30:00,2023-12-04 09:30:00,0.4980582169205263,0.727912750244144,10,32.66,2023-12-04 09:30:00,0.25,0.25,229.85453332361772,EXPIRY,risk_current_mature_tp500,MSFT
MSFU,2023-09-18 09:30:00,2023-11-29 09:30:00,0.6966333799425248,4.179800279655149,7,31.3,2023-12-11 09:30:00,0.2981176130109096,0.2981176130109096,2438.216829798837,TARGET,risk_current_mature_tp500,MSFT
MSFU,2023-09-25 09:30:00,2023-11-10 09:30:00,0.5971945183021079,3.5831671098126474,8,29.66,2023-12-18 09:30:00,0.28396646710411744,0.28396646710411744,2388.7780732084316,TARGET,risk_current_mature_tp500,MSFT
MSFU,2023-11-13 09:30:00,2024-02-05 09:30:00,1.1936081288862308,1.5964926147460972,4,36.41,2024-02-05 09:30:00,0.36634584913086443,0.36634584913086443,161.15379434394654,EXPIRY,risk_current_mature_tp500,MSFT
MSFU,2023-11-20 09:30:00,2024-02-12 09:30:00,1.318513695203853,1.1778613281249974,3,38.13,2024-02-12 09:30:00,0.37747882165586194,0.37747882165586194,-42.19571012365666,EXPIRY,risk_current_mature_tp500,MSFT
