strike_offset_dollars,option_profit,wins,losses,skipped_budget,executed_trades,win_rate_pct
8,780.2122262778736,6,1,8,7,85.71428571428571
5,691.7696022970636,5,0,10,5,100.0
4,658.534642248169,5,0,10,5,100.0
3,638.3810212236081,5,0,10,5,100.0
6,602.7105221922116,5,0,10,5,100.0
7,429.6353850378638,4,1,10,5,80.0
