symbol,pnl
AMZU,3917.967556735588
GGLL,21775.47287810058
IBX,-880.9183507714315
METU,-2455.76887075143
NFXL,-4901.292877747632
NVDU,6056.754340678969
PLTU,11754.792884309736
TSLT,6314.350492939964
AAPU,1256.90475359246
MSFU,-1178.0329021504476
