timestamp,equity,cash,positions
2025-08-05 13:30:00-04:00,100000.0,100000.0,0
2025-08-06 13:30:00-04:00,100000.0,100000.0,0
2025-08-07 13:30:00-04:00,100000.0,100000.0,0
2025-08-08 13:30:00-04:00,100000.0,100000.0,0
2025-08-11 13:30:00-04:00,100000.0,100000.0,0
2025-08-12 13:30:00-04:00,100000.0,100000.0,0
2025-08-13 13:30:00-04:00,100000.0,100000.0,0
2025-08-14 13:30:00-04:00,100000.0,98750.0,1
2025-08-15 13:30:00-04:00,100062.5,98811.71875,1
2025-08-18 13:30:00-04:00,100079.18577224844,97560.7289278469,2
2025-08-19 13:30:00-04:00,100108.63508268495,95058.01305077977,3
2025-08-20 13:30:00-04:00,99996.23923838926,95121.59937356066,3
2025-08-21 13:30:00-04:00,100030.22482815082,91370.465942505,4
2025-08-22 13:30:00-04:00,100370.65971222424,91428.28333610606,4
2025-08-25 13:30:00-04:00,100434.1902244375,92857.57142932486,4
2025-08-26 13:30:00-04:00,100404.07541600158,90347.46954392482,5
2025-08-27 13:30:00-04:00,100509.3149710965,89091.1031067861,6
2025-08-28 13:30:00-04:00,100451.57475602583,87950.99158976486,6
2025-08-29 13:30:00-04:00,100755.7128696785,89385.69408525371,6
2025-09-02 13:30:00-04:00,100654.61801623592,89506.9403125163,5
2025-09-03 13:30:00-04:00,100702.65827722607,84471.80739865499,6
2025-09-04 13:30:00-04:00,100902.1673614703,83210.5303066366,7
2025-09-05 13:30:00-04:00,100668.91145479126,79562.86446201525,7
2025-09-08 13:30:00-04:00,100739.44441343124,77044.37835167948,8
2025-09-09 13:30:00-04:00,100956.05139801225,74520.47706672916,9
2025-09-10 13:30:00-04:00,100961.60500791536,73317.71640437542,9
2025-09-11 13:30:00-04:00,100882.2439905192,70795.66030461242,10
2025-09-12 13:30:00-04:00,101026.12092509006,70795.66030461242,10
2025-09-15 13:30:00-04:00,101059.24845295513,70795.66030461242,10
2025-09-16 13:30:00-04:00,101098.52091060158,70795.66030461242,10
2025-09-17 13:30:00-04:00,101167.50166159892,70795.66030461242,10
2025-09-18 13:30:00-04:00,100903.50733403556,70795.66030461242,10
2025-09-19 13:30:00-04:00,100868.68300800888,72120.70847921133,9
2025-09-22 13:30:00-04:00,100840.72987982936,72120.70847921133,9
2025-09-23 13:30:00-04:00,100797.41877925722,72120.70847921133,9
2025-09-24 13:30:00-04:00,100762.10101014143,72120.70847921133,9
2025-09-25 13:30:00-04:00,100757.3327412178,69601.77516068089,10
2025-09-26 13:30:00-04:00,100615.95796066223,72244.77701341362,9
2025-09-29 13:30:00-04:00,100667.32774176134,72244.77701341362,9
2025-09-30 13:30:00-04:00,100731.27095836235,72244.77701341362,9
2025-10-01 13:30:00-04:00,100640.32283360168,72244.77701341362,9
2025-10-02 13:30:00-04:00,100671.12724777513,72494.83998186784,9
2025-10-03 13:30:00-04:00,100747.20187361457,69976.15993502748,10
2025-10-06 13:30:00-04:00,100492.92073177025,76584.32047678533,8
2025-10-07 13:30:00-04:00,100864.01196574856,76584.32047678533,8
2025-10-08 13:30:00-04:00,100733.76369024375,76584.32047678533,8
2025-10-09 13:30:00-04:00,100797.20388607073,76584.32047678533,8
2025-10-10 13:30:00-04:00,101072.8388596347,72912.65604556075,8
2025-10-13 13:30:00-04:00,100834.83372620036,71718.36621243844,8
2025-10-14 13:30:00-04:00,100954.3499815133,69194.5074629006,9
2025-10-15 13:30:00-04:00,100827.36709569376,64153.13910811592,10
2025-10-16 13:30:00-04:00,100342.21418893224,64153.13910811592,10
2025-10-17 13:30:00-04:00,100471.45271267442,64153.13910811592,10
2025-10-20 13:30:00-04:00,100287.5818137707,65476.4983012469,9
2025-10-21 13:30:00-04:00,100542.99558014346,65476.4983012469,9
2025-10-22 13:30:00-04:00,100999.25540061909,65476.4983012469,9
2025-10-23 13:30:00-04:00,100511.94750470234,65476.4983012469,9
2025-10-24 13:30:00-04:00,100350.17041289009,62967.74404092465,10
2025-10-27 13:30:00-04:00,99964.10954867868,65609.8658711012,8
2025-10-28 13:30:00-04:00,99822.95586433532,68256.68225688855,7
2025-10-29 13:30:00-04:00,99404.85685872544,73553.13134946983,6
2025-10-30 13:30:00-04:00,99783.92599882385,73553.13134946983,6
2025-10-31 13:30:00-04:00,99679.82800286691,72307.13349943398,7
2025-11-03 13:30:00-05:00,99563.7695694472,71062.5863798159,8
2025-11-04 13:30:00-05:00,100270.05038487772,69809.21075000493,9
2025-11-05 13:30:00-05:00,99951.77270643851,68559.81359117445,10
2025-11-06 13:30:00-05:00,100228.93081894278,68559.81359117445,10
2025-11-07 13:30:00-05:00,100936.60676011347,68559.81359117445,10
2025-11-10 13:30:00-05:00,100167.80793149586,68559.81359117445,10
2025-11-11 13:30:00-05:00,100430.63167279682,68559.81359117445,10
2025-11-12 13:30:00-05:00,100521.30464764225,73839.50346544056,8
