configuration,profit,executed,wins,losses,premium_deployed,paused_entries,pause_triggers,win_rate_pct,profit_on_premium_pct
balanced_winner,33520.295359956726,435,146,289,195860.66338248726,764,250,33.5632183908046,17.11435812636685
raw_winner,171548.35151165555,504,188,316,209338.41227010993,503,155,37.301587301587304,81.94786119343746
