crash,profit,executed,wins,losses,premium_deployed,paused_weekly_entries,pause_triggers,win_rate_pct
COVID crash,5400.668742009365,37,24,13,17197.28749105482,53,21,64.86486486486487
Dot-com crash,-18275.559930204232,271,118,153,129422.02357877343,474,164,43.542435424354245
Housing/GFC crash,-12942.934343095385,160,68,92,78325.70276615556,280,108,42.5
