symbol,entry_date,spot,strike,entry_option_price,contracts,exit_date,pnl,reason,crash
AAPL,1999-12-10 09:30:00,0.770837664604187,0.81,0.029132863547718102,171,2000-01-07 09:30:00,-498.1719666659796,EXPIRY,Dot-com crash
AAPL,1999-12-14 09:30:00,0.7100305557250977,0.75,0.028522796992223154,175,1999-12-22 09:30:00,474.1914999957099,TARGET_95,Dot-com crash
AAPL,1999-12-21 09:30:00,0.7670958042144775,0.81,0.031785964091673224,157,2000-01-18 09:30:00,-499.0396362392696,EXPIRY,Dot-com crash
AAPL,1999-12-28 09:30:00,0.734821081161499,0.77,0.03557825030702716,140,2000-01-03 09:30:00,473.19072908346106,TARGET_95,Dot-com crash
AAPL,2000-01-04 09:30:00,0.7670958042144775,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-01-11 09:30:00,0.6941277980804443,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-01-18 09:30:00,0.7778528928756714,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-01-25 09:30:00,0.8400626182556152,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-02-01 09:30:00,0.7502566576004028,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-02-08 09:30:00,0.8597082495689392,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-02-15 09:30:00,0.8905789256095886,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-02-22 09:30:00,0.8517565131187439,0.89,0.042686400762306176,117,2000-03-01 09:30:00,474.45934447303307,TARGET_95,Dot-com crash
AAPL,2000-02-29 09:30:00,0.8578374981880188,0.9,0.03427009978365675,145,2000-03-01 09:30:00,472.0706245198717,TARGET_95,Dot-com crash
AAPL,2000-03-07 09:30:00,0.9195787906646729,0.97,0.05339640280957397,93,2000-03-22 09:30:00,471.757218822586,TARGET_95,Dot-com crash
AAPL,2000-03-14 09:30:00,0.855030357837677,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-03-21 09:30:00,1.0098531246185305,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-03-28 09:30:00,1.0411921739578247,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-04-04 09:30:00,0.9527889490127563,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-04-11 09:30:00,0.8938530087471008,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-04-18 09:30:00,0.9495147466659546,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-04-25 09:30:00,0.9602720737457277,1.01,0.06873556992177954,72,2000-05-23 09:30:00,-494.89610343681267,EXPIRY,Dot-com crash
AAPL,2000-05-02 09:30:00,0.882159411907196,0.93,0.05831956725101972,85,2000-05-30 09:30:00,-495.71632163366763,EXPIRY,Dot-com crash
AAPL,2000-05-09 09:30:00,0.789078950881958,0.83,0.049011750016101585,102,2000-06-06 09:30:00,-499.91985016423615,EXPIRY,Dot-com crash
AAPL,2000-05-16 09:30:00,0.7909498810768127,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-05-23 09:30:00,0.6422081589698792,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-05-30 09:30:00,0.6553051471710205,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-06-06 09:30:00,0.6950631141662598,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-06-13 09:30:00,0.7072244882583618,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-06-20 09:30:00,0.7577404379844666,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-06-27 09:30:00,0.774578869342804,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-07-05 09:30:00,0.7727081179618835,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-07-11 09:30:00,0.8522242903709412,0.89,0.05015968470836951,99,2000-08-08 09:30:00,-496.5808786128581,EXPIRY,Dot-com crash
AAPL,2000-07-18 09:30:00,0.856901228427887,0.9,0.0462447706546405,108,2000-08-15 09:30:00,-499.4435230701174,EXPIRY,Dot-com crash
AAPL,2000-07-25 09:30:00,0.7493208646774292,0.79,0.04179404039858409,119,2000-08-22 09:30:00,-497.34908074315064,EXPIRY,Dot-com crash
AAPL,2000-08-01 09:30:00,0.7380950450897217,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-08-08 09:30:00,0.699740469455719,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-08-15 09:30:00,0.6988047361373901,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-08-22 09:30:00,0.7736436128616333,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-08-29 09:30:00,0.885901927947998,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-09-05 09:30:00,0.9345459938049316,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-09-12 09:30:00,0.8643855452537537,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-09-19 09:30:00,0.8971276879310607,,,0,,0.0,PAUSED_6W,Dot-com crash
AAPL,2000-09-26 09:30:00,0.7699021100997925,0.81,0.04439154502462689,112,2000-10-24 09:30:00,-497.1853042758211,EXPIRY,Dot-com crash
