timestamp,equity,cash,positions
2025-08-05 13:30:00-04:00,100000.0,100000.0,0
2025-08-06 13:30:00-04:00,100000.0,100000.0,0
2025-08-07 13:30:00-04:00,100000.0,100000.0,0
2025-08-08 13:30:00-04:00,100000.0,100000.0,0
2025-08-11 13:30:00-04:00,100000.0,100000.0,0
2025-08-12 13:30:00-04:00,100000.0,100000.0,0
2025-08-13 13:30:00-04:00,100000.0,100000.0,0
2025-08-14 13:30:00-04:00,99999.37531234382,98750.0,1
2025-08-15 13:30:00-04:00,100061.21867601357,98811.070703125,1
2025-08-18 13:30:00-04:00,100077.27082590507,97560.09700312291,2
2025-08-19 13:30:00-04:00,100105.45422280292,95057.4293798414,3
2025-08-20 13:30:00-04:00,99992.49136589895,95120.3810535192,3
2025-08-21 13:30:00-04:00,100024.5845262903,91369.38883782727,4
2025-08-22 13:30:00-04:00,100364.21382101724,91426.58177079458,4
2025-08-25 13:30:00-04:00,100426.45545866458,92853.9784635478,4
2025-08-26 13:30:00-04:00,100395.10270591777,90344.06953771738,5
2025-08-27 13:30:00-04:00,100499.65736702533,89087.81597296862,6
2025-08-28 13:30:00-04:00,100440.06804204833,87946.67723726554,6
2025-08-29 13:30:00-04:00,100742.76907789458,89379.39121811868,6
2025-09-02 13:30:00-04:00,100640.4765049353,89499.39602907136,5
2025-09-03 13:30:00-04:00,100685.97306512714,84464.97157810256,6
2025-09-04 13:30:00-04:00,100884.72943014414,83203.9045824959,7
2025-09-05 13:30:00-04:00,100648.47286648006,79555.65842308803,7
2025-09-08 13:30:00-04:00,100717.70336670431,77037.68437997435,8
2025-09-09 13:30:00-04:00,100932.91529192947,74514.32997150908,9
2025-09-10 13:30:00-04:00,100937.20364233115,73311.26029534107,9
2025-09-11 13:30:00-04:00,100856.62956047246,70789.81305398991,10
2025-09-12 13:30:00-04:00,101000.4220723996,70789.81305398991,10
2025-09-15 13:30:00-04:00,101033.52832498716,70789.81305398991,10
2025-09-16 13:30:00-04:00,101072.76929667268,70789.81305398991,10
2025-09-17 13:30:00-04:00,101141.7007096422,70789.81305398991,10
2025-09-18 13:30:00-04:00,100877.88511131836,70789.81305398991,10
2025-09-19 13:30:00-04:00,100838.96111510345,70789.81305398991,10
2025-09-22 13:30:00-04:00,100815.15145473063,72113.91173790196,9
2025-09-23 13:30:00-04:00,100771.86987531377,72113.91173790196,9
2025-09-24 13:30:00-04:00,100736.57899877646,72113.91173790196,9
2025-09-25 13:30:00-04:00,100731.80931318767,72113.91173790196,9
2025-09-26 13:30:00-04:00,100591.18476512797,70982.9392076213,9
2025-09-29 13:30:00-04:00,100619.77839622149,68467.41331935633,10
2025-09-30 13:30:00-04:00,100650.35902482185,68467.41331935633,10
2025-10-01 13:30:00-04:00,100555.77264427181,68467.41331935633,10
2025-10-02 13:30:00-04:00,100653.54548793026,73747.73978267952,9
2025-10-03 13:30:00-04:00,100721.6520614154,73747.73978267952,9
2025-10-06 13:30:00-04:00,100618.94928032167,79030.14939412636,8
2025-10-07 13:30:00-04:00,100849.87674483206,79030.14939412636,8
2025-10-08 13:30:00-04:00,100773.96489713954,76510.76879517864,9
2025-10-09 13:30:00-04:00,100851.61095739221,72728.76250709713,10
2025-10-10 13:30:00-04:00,101097.00509085594,74050.77598413745,9
2025-10-13 13:30:00-04:00,100963.11137563488,76692.41336215292,8
2025-10-14 13:30:00-04:00,101140.1136290195,76692.41336215292,8
2025-10-15 13:30:00-04:00,101117.41881284221,76692.41336215292,8
2025-10-16 13:30:00-04:00,100728.19767841784,69137.51536918037,9
2025-10-17 13:30:00-04:00,100988.70857083032,67875.14862619578,10
2025-10-20 13:30:00-04:00,101083.33800628898,69196.59472139158,9
2025-10-21 13:30:00-04:00,101277.79422089066,69196.59472139158,9
2025-10-22 13:30:00-04:00,101098.01802710767,69196.59472139158,9
2025-10-23 13:30:00-04:00,100999.50689974157,69196.59472139158,9
2025-10-24 13:30:00-04:00,100794.12455970595,68061.2306585479,9
2025-10-27 13:30:00-04:00,100468.52001750557,66871.77248087584,9
2025-10-28 13:30:00-04:00,100230.37355314622,64365.98183531748,10
2025-10-29 13:30:00-04:00,99829.36412863703,64365.98183531748,10
2025-10-30 13:30:00-04:00,100083.39634078252,64365.98183531748,10
2025-10-31 13:30:00-04:00,100134.06325157444,67011.5828715849,9
2025-11-03 13:30:00-05:00,99943.26331955315,67011.5828715849,9
2025-11-04 13:30:00-05:00,100709.719532264,68326.46519045859,8
2025-11-05 13:30:00-05:00,100648.76620117304,69644.47165787316,7
2025-11-06 13:30:00-05:00,101035.14509937286,72343.51531500297,7
2025-11-07 13:30:00-05:00,101423.15424112309,71075.71796721539,8
2025-11-10 13:30:00-05:00,101234.80154052746,71140.79666446241,8
2025-11-11 13:30:00-05:00,101366.84264478942,72571.07114735678,8
2025-11-12 13:30:00-05:00,101832.54613249788,75283.1702928377,7
