wait,tp,final,return_pct,cagr_pct,max_dd_pct,orders,exits,open
1,30,122385.18052093788,22.385180520937876,6.9653075641754825,-10.193416227345608,160,25,10
1,29,121719.07265483332,21.719072654833326,6.770893801389044,-11.219251625180648,164,27,10
1,28,120584.68712261893,20.584687122618917,6.438167027794006,-11.28906248217234,167,29,10
1,22,119983.4543085758,19.983454308575798,6.2609726880029415,-9.384563098968801,203,40,10
1,27,119771.89501951223,19.771895019512222,6.198481511642151,-11.385654141881307,169,31,10
2,28,119387.47415235365,19.387474152353647,6.0847412285775615,-11.640846634408252,164,29,10
1,23,119304.67220481315,19.304672204813155,6.0602103058774,-9.514932135014686,193,38,10
2,30,119261.3535284302,19.261353528430213,6.047372183061817,-11.613795288201201,152,24,10
2,29,119167.53582168662,19.16753582168662,6.019557273600795,-11.643002796169599,157,26,10
2,22,119035.34193793527,19.03534193793528,5.980339874018514,-9.641534806536256,200,40,10
1,26,119004.14117926988,19.004141179269872,5.9710794423316615,-11.477860431599641,173,33,10
1,25,118842.02502250051,18.84202502250052,5.922937052828692,-10.65756610047689,178,34,10
1,21,118802.57312640283,18.802573126402834,5.911214703462786,-9.536168237433396,206,41,10
2,27,118620.70699811475,18.620706998114755,5.857143204349291,-11.7248153754821,166,31,10
1,24,118590.4812449125,18.590481244912493,5.848151284447289,-9.411642390087982,184,36,10
3,28,118570.51458678066,18.57051458678065,5.8422105252623036,-11.706905414447599,162,29,10
3,25,118479.06547634478,18.479065476344793,5.814992782025952,-9.637198846540397,178,35,10
3,22,118410.41807538987,18.410418075389877,5.794552243781537,-9.655433380763423,198,40,10
3,30,118386.9170103883,18.386917010388302,5.78755272129301,-11.68140936610117,150,24,10
3,29,118323.61872497923,18.32361872497923,5.76869544480465,-11.708650365339645,155,26,10
2,23,118307.49975200144,18.307499752001455,5.763892345796706,-9.848723027600059,190,38,10
2,26,117906.15661941751,17.9061566194175,5.644160004235221,-11.798895308143587,170,33,10
2,21,117900.01553195025,17.900015531950242,5.642325830036743,-9.780958152203912,203,41,10
3,27,117836.83722368896,17.83683722368896,5.623452504975712,-11.789555101458294,164,31,10
2,25,117782.63515471597,17.782635154715965,5.60725528457795,-11.031963311618131,175,34,10
1,12,117775.90655195374,17.775906551953735,5.605244227513784,-10.906613228066409,326,82,10
3,23,117640.7815290037,17.640781529003704,5.56484158980437,-9.865422015010205,188,38,10
2,24,117555.51109686666,17.55551109686666,5.539329644856594,-9.758777881780734,181,36,10
2,19,117534.14503422184,17.534145034221837,5.532935228758595,-10.212201040891088,223,48,10
1,19,117487.80432203934,17.487804322039334,5.519063758341969,-9.936398485775399,222,47,10
2,20,117485.07227208883,17.48507227208882,5.518245841994007,-9.91026347467081,210,44,10
3,21,117306.82398138387,17.30682398138388,5.464854755289306,-9.794337041277334,201,41,10
3,26,117173.23280584947,17.17323280584948,5.42480444059783,-11.856853494352315,168,33,10
1,20,117169.83026440896,17.169830264408947,5.423783969370177,-9.714458930664838,208,43,10
3,24,116866.78194552392,16.86678194552391,5.332816058467005,-9.775934185278823,179,36,10
3,20,116637.34968263921,16.63734968263921,5.263841288248439,-9.925255811185407,207,44,10
2,12,116560.42678350219,16.56042678350218,5.240695527568673,-11.023568672380302,319,82,10
3,19,116406.12976823549,16.406129768235502,5.194237519778744,-10.146179089742136,219,48,10
1,17,116360.24083982162,16.360240839821614,5.180412688540659,-10.305334187656756,240,53,10
1,14,115904.94636060038,15.90494636060038,5.043050029784535,-10.617736691744106,270,64,10
1,11,115535.58108241123,15.53558108241122,4.93134774031323,-11.127696033620516,337,88,10
1,16,115399.90516984482,15.399905169844818,4.890257273721854,-10.513074936402589,249,57,10
2,17,115390.28380776476,15.39028380776477,4.887342149454921,-10.564891630987683,236,53,10
2,18,115302.77198736198,15.302771987361986,4.860819975198982,-10.521003446582744,223,49,10
1,18,115273.03975673777,15.273039756737772,4.85180598518935,-10.269760484368417,222,48,10
1,13,115114.68874499135,15.114688744991355,4.8037722092755475,-10.2794901905229,283,68,10
1,15,115093.18061429706,15.093180614297053,4.797244592753369,-10.327248037075487,257,59,10
2,13,115004.05559889064,15.004055598890641,4.77018689937978,-10.396294246831694,283,69,10
2,14,114938.53406105954,14.938534061059539,4.750286129147674,-10.749859151974139,265,64,10
3,17,114837.29159347416,14.837291593474156,4.719521010843075,-10.581681017357436,233,53,10
3,14,114644.52821732209,14.644528217322094,4.6608948934726335,-10.651272304794968,265,66,10
3,16,114565.07011821822,14.565070118218216,4.636709765499325,-10.34285758247938,241,56,10
3,18,114519.58110005573,14.519581100055735,4.622858972232047,-10.458805560246532,220,49,10
2,11,114302.7729620389,14.302772962038901,4.556793365451917,-11.269281631627859,329,88,10
2,15,114277.92795951615,14.277927959516145,4.549217282024487,-10.503315869363462,253,59,10
3,13,113774.86949903471,13.774869499034704,4.395580929345266,-10.453690069652222,276,69,10
2,16,113624.06441739196,13.624064417391967,4.349436160905618,-10.773376416105773,239,55,10
3,15,113521.67602566519,13.521676025665187,4.3180831142540566,-10.519772686757566,249,59,10
1,10,113435.34494136987,13.435344941369864,4.291632432632975,-10.712526811338263,351,96,9
3,12,113349.60715542622,13.349607155426213,4.2653502439637725,-10.78783456380309,297,78,10
2,10,112334.9225809015,12.334922580901498,3.953295899707787,-10.892041801387764,341,94,9
3,10,111796.71515758215,11.796715157582138,3.7870133098678815,-10.985452313315125,337,96,9
3,11,111436.78942687059,11.436789426870586,3.6755139788805513,-11.057275502495978,307,84,10
