date,equity,cash,positions,exposure
1999-01-04 14:30:00,99997.50124937532,95000.0,2,4997.501249375313
1999-01-05 14:30:00,100428.0953034829,95000.0,2,5428.095303482903
1999-01-06 14:30:00,100202.33984599475,89989.75781424236,2,10212.582031752394
1999-01-07 14:30:00,101067.35911599436,89989.75781424236,2,11077.601301752
1999-01-08 14:30:00,100919.83495240723,84943.63997672102,3,15976.194975686207
1999-01-11 14:30:00,102101.89073899781,82391.06081695223,4,19710.82992204559
1999-01-12 14:30:00,101023.00229778641,77339.78448326397,4,23683.21781452245
1999-01-13 14:30:00,100348.48823075811,77339.78448326397,4,23008.703747494154
1999-01-14 14:30:00,97418.31401811393,72468.7470672804,4,24949.566950833527
1999-01-15 14:30:00,98368.62176375039,72468.7470672804,4,25899.874696469986
1999-01-19 14:30:00,98933.46240286247,69995.3796055664,4,28938.082797296076
1999-01-20 14:30:00,96136.23159832206,65188.44791241458,4,30947.78368590748
1999-01-21 14:30:00,94436.24754062151,65188.44791241458,4,29247.799628206925
1999-01-22 14:30:00,94270.30697511499,60474.81478172153,5,33795.49219339346
1999-01-25 14:30:00,94773.50535463462,60474.81478172153,5,34298.69057291309
1999-01-26 14:30:00,96463.26627145725,58063.2029948528,5,38400.063276604444
1999-01-27 14:30:00,96151.25132630143,55659.39167907013,5,40491.85964723129
1999-01-28 14:30:00,96790.35932131806,53239.60246378811,5,43550.756857529945
1999-01-29 14:30:00,96014.48099028772,53239.60246378811,5,42774.878526499604
1999-02-01 14:30:00,95549.8391801687,53239.60246378811,5,42310.236716380576
1999-02-02 14:30:00,91948.65606259754,53239.60246378811,5,38709.05359880943
1999-02-03 14:30:00,93813.36380487704,53239.60246378811,5,40573.761341088924
1999-02-04 14:30:00,91503.55346565267,53239.60246378811,5,38263.95100186456
1999-02-05 14:30:00,90941.50277920134,53239.60246378811,5,37701.90031541323
1999-02-08 14:30:00,90893.43248171585,53239.60246378811,5,37653.830017927736
1999-02-09 14:30:00,88256.15535854228,53239.60246378811,5,35016.55289475416
1999-02-10 14:30:00,88958.52004071866,53239.60246378811,5,35718.91757693056
1999-02-11 14:30:00,92897.05492087812,53239.60246378811,5,39657.45245709
1999-02-12 14:30:00,91565.52570763405,53239.60246378811,5,38325.92324384593
1999-02-16 14:30:00,91297.14308540155,53239.60246378811,5,38057.540621613436
1999-02-17 14:30:00,88439.02364710272,53239.60246378811,5,35199.421183314604
1999-02-18 14:30:00,87985.70606607116,53239.60246378811,5,34746.103602283045
1999-02-19 14:30:00,89859.82755702705,53239.60246378811,5,36620.22509323894
1999-02-22 14:30:00,91524.715162462,53239.60246378811,5,38285.11269867388
1999-02-23 14:30:00,93728.2589290429,53239.60246378811,5,40488.65646525478
1999-02-24 14:30:00,95506.28471614576,65232.764817970645,5,30273.519898175116
1999-02-25 14:30:00,96344.33833101502,62824.12626675985,5,33520.21206425517
1999-02-26 14:30:00,94648.69212198717,60457.87940040599,5,34190.81272158119
1999-03-01 14:30:00,94808.01181184509,58087.64949204254,5,36720.36231980256
1999-03-02 14:30:00,93475.30678809539,58087.64949204254,5,35387.65729605284
1999-03-03 14:30:00,92296.19696173165,58087.64949204254,5,34208.54746968912
1999-03-04 14:30:00,92039.25109411287,58087.64949204254,5,33951.60160207034
1999-03-05 14:30:00,93850.3570764311,58087.64949204254,5,35762.70758438856
1999-03-08 14:30:00,95026.42794645316,58087.64949204254,5,36938.77845441061
1999-03-09 14:30:00,96763.13947311317,58087.64949204254,5,38675.48998107063
1999-03-10 14:30:00,96440.57942579407,58087.64949204254,5,38352.929933751526
1999-03-11 14:30:00,95488.32918990156,58087.64949204254,5,37400.679697859014
1999-03-12 14:30:00,94775.39205153662,58087.64949204254,5,36687.74255949409
1999-03-15 14:30:00,97244.03204701236,58087.64949204254,5,39156.382554969816
1999-03-16 14:30:00,96965.92323364387,58087.64949204254,5,38878.27374160133
1999-03-17 14:30:00,95751.10122321759,58087.64949204254,5,37663.45173117505
1999-03-18 14:30:00,97673.37975947128,58087.64949204254,5,39585.73026742874
1999-03-19 14:30:00,95625.12322223056,58087.64949204254,5,37537.47373018802
1999-03-22 14:30:00,95439.139641844,58087.64949204254,5,37351.49014980145
1999-03-23 14:30:00,91736.77648254835,58087.64949204254,5,33649.12699050581
1999-03-24 14:30:00,93117.41759454628,58087.64949204254,5,35029.768102503745
1999-03-25 14:30:00,95847.20472412347,58087.64949204254,5,37759.55523208093
1999-03-26 14:30:00,96637.55955575989,58087.64949204254,5,38549.91006371734
1999-03-29 14:30:00,100122.91280504744,58087.64949204254,5,42035.26331300491
1999-03-30 14:30:00,100647.56963698012,58087.64949204254,5,42559.920144937576
1999-03-31 14:30:00,102462.27676496794,66742.97406646209,5,35719.30269850585
1999-04-01 14:30:00,102051.24046384811,66742.97406646209,5,35308.26639738602
1999-04-05 13:30:00,104555.56078131414,66742.97406646209,5,37812.58671485205
1999-04-06 13:30:00,103961.66212087401,64143.90004125102,5,39817.762079623
1999-04-07 13:30:00,104127.28712258648,61540.68533926454,5,42586.60178332194
1999-04-08 13:30:00,104944.2297559887,61540.68533926454,5,43403.544416724144
1999-04-09 13:30:00,104952.20733419595,61540.68533926454,5,43411.521994931405
1999-04-12 13:30:00,103799.0561805692,61540.68533926454,5,42258.37084130465
1999-04-13 13:30:00,101037.10654363011,59014.72611696287,5,42022.380426667245
1999-04-14 13:30:00,98749.56592950187,59014.72611696287,5,39734.839812539
1999-04-15 13:30:00,99541.92681629337,59014.72611696287,5,40527.200699330504
1999-04-16 13:30:00,101176.30446001356,59014.72611696287,5,42161.57834305069
1999-04-19 13:30:00,94615.15455763396,59014.72611696287,5,35600.42844067109
1999-04-20 13:30:00,96423.5809943697,59014.72611696287,5,37408.85487740682
1999-04-21 13:30:00,97484.02221106392,59014.72611696287,5,38469.29609410105
1999-04-22 13:30:00,101546.23973937755,59014.72611696287,5,42531.51362241468
1999-04-23 13:30:00,105178.35367109667,59014.72611696287,5,46163.627554133804
1999-04-26 13:30:00,106463.30933836038,59014.72611696287,5,47448.58322139751
1999-04-27 13:30:00,110538.67302525898,71180.13146035216,5,39358.541564906816
1999-04-28 13:30:00,108181.36769675091,68475.5634777287,5,39705.8042190222
1999-04-29 13:30:00,106335.14597343808,65817.15161485123,5,40517.99435858685
1999-04-30 13:30:00,108403.09362448883,63107.04041477874,5,45296.05320971008
1999-05-03 13:30:00,107857.80675522065,63107.04041477874,5,44750.76634044191
1999-05-04 13:30:00,104589.00121826647,63107.04041477874,5,41481.960803487724
1999-05-05 13:30:00,105565.85711377712,63107.04041477874,5,42458.81669899838
1999-05-06 13:30:00,102808.65594183633,63107.04041477874,5,39701.615527057584
1999-05-07 13:30:00,104479.48966132902,63107.04041477874,5,41372.44924655027
1999-05-10 13:30:00,105360.33818059144,63107.04041477874,5,42253.297765812706
1999-05-11 13:30:00,106141.9338430202,63107.04041477874,5,43034.893428241456
