date,symbol,side,price,qty,pnl,reason,tranches,decline
1999-01-04 14:30:00,AAPU,BUY,95.88991877488766,26.071562390922765,0.0,ENTRY,1,-0.04154198819191568
1999-01-04 14:30:00,IBX,BUY,97.88278371918616,25.54075298034225,0.0,ENTRY,1,-0.021622507638402122
1999-01-06 14:30:00,AAPU,BUY,97.86073464567365,25.59883800125933,0.0,ENTRY,2,-0.10570469802895255
1999-01-06 14:30:00,IBX,BUY,103.99317084029094,24.089284638950982,0.0,ENTRY,2,-0.016361942552830078
1999-01-08 14:30:00,AMZU,BUY,207.80139823376894,12.141684031992536,0.0,ENTRY,1,-0.22898718708244115
1999-01-08 14:30:00,AAPU,BUY,113.08822709881309,22.31053561885006,0.0,ENTRY,3,-0.06493791317114594
1999-01-11 14:30:00,MSFU,BUY,111.34123301170419,22.92573102276017,0.0,ENTRY,1,-0.04444618495577002
1999-01-12 14:30:00,AMZU,BUY,208.61286151133373,12.106819054907199,0.0,ENTRY,2,-0.1941965547977923
1999-01-12 14:30:00,MSFU,BUY,103.31647165287904,24.445648660261345,0.0,ENTRY,2,-0.07983507420926939
1999-01-14 14:30:00,AAPU,BUY,94.07663962420611,25.88866606758683,0.0,ENTRY,4,-0.1853993954888018
1999-01-14 14:30:00,AMZU,BUY,146.44953917778915,16.63042930462942,0.0,ENTRY,3,-0.15790081473998652
1999-01-19 14:30:00,AMZU,BUY,150.26454998905285,16.46008630707777,0.0,ENTRY,4,-0.1330783550939747
1999-01-20 14:30:00,MSFU,BUY,134.25364288809087,17.902425549669086,0.0,ENTRY,3,-0.04838877323690105
1999-01-20 14:30:00,IBX,BUY,109.97830107382947,21.854000499266103,0.0,ENTRY,3,-0.005057091843915451
1999-01-22 14:30:00,NVDU,BUY,87.54150383639575,26.922276429602157,0.0,ENTRY,1,-0.12498772770161892
1999-01-22 14:30:00,IBX,BUY,93.04215636381697,25.330631376714983,0.0,ENTRY,4,-0.04970984649831656
1999-01-26 14:30:00,NVDU,BUY,89.44493007374088,26.96197296907188,0.0,ENTRY,2,-0.17414859584500952
1999-01-27 14:30:00,NVDU,BUY,88.88497849713646,27.04406702264221,0.0,ENTRY,3,-0.01236462240577152
1999-01-28 14:30:00,NVDU,BUY,88.32254774566374,27.39718539653222,0.0,ENTRY,4,-0.006288191310048652
1999-02-24 14:30:00,NVDU,EXIT,132.75589830582217,108.32550181784848,4788.82041997751,TP,4,
1999-02-24 14:30:00,NVDU,BUY,120.5523504896724,19.806224759420783,0.0,ENTRY,1,-0.10526640221897399
1999-02-25 14:30:00,NVDU,BUY,112.93614814206053,21.327436705039833,0.0,ENTRY,2,-0.13593047778533374
1999-02-26 14:30:00,NVDU,BUY,102.49526255299249,23.08640231181857,0.0,ENTRY,3,-0.11173047748594467
1999-03-01 14:30:00,NVDU,BUY,103.66184110409836,22.865018439941053,0.0,ENTRY,4,-0.037922681106921874
1999-03-31 14:30:00,MSFU,EXIT,171.84402621261117,65.2738052326906,3735.2303242145263,TP,3,
1999-03-31 14:30:00,MSFU,BUY,157.76899106506298,16.23632695937963,0.0,ENTRY,1,-0.10156640446247311
1999-04-06 13:30:00,MSFU,BUY,173.45636788631842,14.984021958274132,0.0,ENTRY,2,-0.02357656918349571
1999-04-07 13:30:00,MSFU,BUY,170.6834030829826,15.251715485897881,0.0,ENTRY,3,-0.032659667216135446
1999-04-13 13:30:00,MSFU,BUY,158.97567830058563,15.888966471498122,0.0,ENTRY,4,-0.06434571009448875
1999-04-27 13:30:00,AMZU,EXIT,260.3620891036826,57.33901869860692,4971.3234402138205,TP,4,
1999-04-27 13:30:00,AMZU,BUY,228.05656493596777,12.117613684618297,0.0,ENTRY,1,-0.0981023084389403
1999-04-28 13:30:00,AMZU,BUY,200.6308952452766,13.480316574957447,0.0,ENTRY,2,-0.06696993810998997
1999-04-29 13:30:00,AMZU,BUY,148.2619079682085,17.93051161494229,0.0,ENTRY,3,-0.05532907434914125
1999-04-30 13:30:00,AMZU,BUY,154.97518133861587,17.487388475132573,0.0,ENTRY,4,-0.05316472099008329
1999-05-13 13:30:00,IBX,EXIT,151.2248224458167,96.81466949527433,4875.377699772029,TP,4,
1999-05-14 13:30:00,IBX,BUY,155.1875292264257,16.977160921957623,0.0,ENTRY,1,-0.01898821424783015
1999-05-19 13:30:00,IBX,BUY,150.79243081969182,17.770700533595644,0.0,ENTRY,2,-0.019958770109387403
1999-05-20 13:30:00,IBX,BUY,146.95072489484448,17.69157183204919,0.0,ENTRY,3,-0.023367857978195405
1999-05-21 13:30:00,IBX,BUY,143.7897478657195,18.057738124162654,0.0,ENTRY,4,-0.020419932648710115
1999-07-14 13:30:00,AAPU,EXIT,149.57579678396735,99.86960207861898,4974.376585775915,TP,4,
