date,symbol,side,price,qty,pnl,reason,tranches,decline
2022-08-09,AAPU,BUY,24.982484999999997,100.0701091184484,0.0,ENTRY,1,-0.00199840127897688
2022-08-11,AAPU,BUY,25.862925,96.74738290498068,0.0,ENTRY,2,-0.026731927710843317
2022-08-19,AAPU,BUY,26.53326,94.42623105909674,0.0,ENTRY,3,-0.011554230339172467
2022-08-22,AAPU,BUY,25.602794999999997,97.59219728368815,0.0,ENTRY,4,-0.014252696456086289
2022-09-08,GGLL,BUY,25.492739999999998,96.85307555805636,0.0,ENTRY,1,-0.0003923107100822776
2022-09-09,MSFU,BUY,26.703345,92.76564178968532,0.0,ENTRY,1,-0.0014964459408903785
2022-09-12,MSFU,BUY,26.95347,92.39941766364903,0.0,ENTRY,2,-0.009194556822361144
2022-09-12,GGLL,BUY,26.343164999999996,94.54008020731884,0.0,ENTRY,2,-0.006415094339622729
2022-09-13,AMZU,BUY,25.17258,97.29760553984461,0.0,ENTRY,1,-0.08840579710144936
2022-09-13,GGLL,BUY,24.13206,101.49285884670358,0.0,ENTRY,3,-0.05039370078740146
2022-09-14,MSFU,BUY,24.83241,98.85429788381198,0.0,ENTRY,3,-0.002411575562700885
2022-09-15,MSFU,BUY,23.83191,102.14941737130168,0.0,ENTRY,4,-0.026960784313725505
2022-09-15,GGLL,BUY,23.601795,103.14536336517195,0.0,ENTRY,4,-0.017492711370262426
2022-09-20,AMZU,BUY,23.69184,102.51077085694739,0.0,ENTRY,2,-0.01742738589211623
2022-09-21,AMZU,BUY,22.621305,106.34741693656765,0.0,ENTRY,3,-0.050000000000000044
2022-09-23,AMZU,BUY,21.330659999999998,111.86141895706994,0.0,ENTRY,4,-0.02470265324794141
2023-07-18,MSFU,EXIT,38.267913935860925,386.16877470844804,4921.029389730489,TP,4,
2023-07-19,MSFU,BUY,38.049015,70.91497582945628,0.0,ENTRY,1,-0.027116909695574343
2023-07-20,MSFU,BUY,36.698339999999995,72.65135600254185,0.0,ENTRY,2,-0.030655391120507525
2023-07-21,MSFU,BUY,36.20809499999999,73.59194567437348,0.0,ENTRY,3,-0.024002157497303167
2023-07-24,MSFU,BUY,36.38818499999999,73.36534765050087,0.0,ENTRY,4,-0.004924760601915157
2023-09-14,NVDU,BUY,25.622805,105.92997453157564,0.0,ENTRY,1,-0.01234091785576552
2023-09-15,NVDU,BUY,24.182085,110.99645224334749,0.0,ENTRY,2,-0.04917387883556257
2023-09-19,NVDU,BUY,23.87193,112.06380672675306,0.0,ENTRY,3,-0.010369141435089158
2023-09-20,NVDU,BUY,22.831409999999998,115.15121643914894,0.0,ENTRY,4,-0.046385290430422055
2023-10-19,TSLT,BUY,20.47023,128.19461222138094,0.0,ENTRY,1,-0.058877644894204106
2023-10-20,TSLT,BUY,18.899445,136.82645492757223,0.0,ENTRY,2,-0.04354430379746832
2023-10-24,TSLT,BUY,19.599795,134.54768633051327,0.0,ENTRY,3,-0.0075987841945287515
2023-10-25,TSLT,BUY,18.899445,135.09552037459952,0.0,ENTRY,4,-0.03720693170234457
2024-01-19,NVDU,EXIT,36.127819458974,444.1414499408251,5343.269409548944,TP,4,
2024-01-22,NVDU,BUY,36.6183,79.7610484391758,0.0,ENTRY,1,-0.009740259740259716
2024-01-25,NVDU,BUY,38.389185,75.72498530403197,0.0,ENTRY,2,-0.017916560020476147
2024-01-30,NVDU,BUY,39.43971,74.02414978902206,0.0,ENTRY,3,-0.005047955577990759
2024-02-23,NVDU,EXIT,57.140287132824746,229.51018353222983,4367.052316244291,TP,3,
2024-02-23,NVDU,BUY,54.597285,55.366527885662244,0.0,ENTRY,1,-0.036036036036036
2024-02-26,NVDU,BUY,54.8274,54.87117264176889,0.0,ENTRY,2,-0.014033825116948617
2024-02-27,NVDU,BUY,54.477225,55.28989200651984,0.0,ENTRY,3,-0.010539705615118966
2024-04-01,AMZU,EXIT,34.6810872542902,418.0172122904296,4827.5956231848195,TP,4,
2024-04-04,AMZU,BUY,33.91695,88.38889728483053,0.0,ENTRY,1,-0.043453724604966104
2024-04-08,AMZU,BUY,35.887935,84.68109303546596,0.0,ENTRY,2,-0.016990956426418347
2024-04-09,GGLL,EXIT,37.26318787514406,396.0313779772507,4914.208955996484,TP,4,
2024-04-09,AMZU,BUY,36.018,84.83472176677655,0.0,ENTRY,3,-0.01880621422730988
2024-04-10,GGLL,BUY,36.29814,83.93850125800019,0.0,ENTRY,1,-0.0008262186725420673
2024-04-12,GGLL,BUY,36.99849,83.03880643545162,0.0,ENTRY,2,-0.0021586616297897265
2024-04-15,GGLL,BUY,35.627804999999995,84.42809124275436,0.0,ENTRY,3,-0.051159072741806644
2024-04-17,AMZU,BUY,34.127055,86.9617812270261,0.0,ENTRY,4,-0.03562340966921118
2024-04-19,NVDU,BUY,45.58278,62.68655395035191,0.0,ENTRY,4,-0.16967377437579723
2024-05-23,NVDU,EXIT,78.18198114419447,228.2141464843029,5941.46097919903,TP,4,
2024-05-30,NVDU,BUY,91.795875,35.14334006048851,0.0,ENTRY,1,-0.07201375543643174
2024-05-31,NVDU,BUY,90.52524,35.558113525415145,0.0,ENTRY,2,-0.05017845895444051
2024-06-06,NVDU,BUY,109.104525,30.331820933164995,0.0,ENTRY,3,-0.05173913043478262
2024-06-06,METU,BUY,26.753369999999997,123.6980206717144,0.0,ENTRY,1,-0.0018663680477790656
2024-06-07,METU,BUY,26.65332,123.94047892506362,0.0,ENTRY,2,-0.012967765839199674
2024-06-12,METU,BUY,28.384185,120.65168180101341,0.0,ENTRY,3,-0.01969592259847963
2024-06-13,METU,BUY,27.883935,123.07853452342718,0.0,ENTRY,4,-0.00464285714285706
2024-06-20,NVDU,EXIT,144.74511853871672,101.03327451906866,4869.81396920873,TP,3,
2024-06-20,NVDU,BUY,126.82338,27.425815949407824,0.0,ENTRY,1,-0.1265761730861985
2024-06-24,NVDU,BUY,102.71132999999999,33.72366442085874,0.0,ENTRY,2,-0.08339285714285716
2024-06-27,NVDU,BUY,112.206075,32.130075975011096,0.0,ENTRY,3,-0.0029338549075390574
2024-06-28,NVDU,BUY,111.2556,31.765884276279984,0.0,ENTRY,4,-0.015493581230633047
2024-07-10,AAPU,EXIT,38.58145077966013,388.835920366214,4995.614854790221,TP,4,
2024-07-11,AAPU,BUY,37.808895,98.32373623065222,0.0,ENTRY,1,-0.037442689760570524
2024-07-15,AAPU,BUY,40.08003,92.87636566225345,0.0,ENTRY,2,-0.01717369970559357
2024-07-16,AAPU,BUY,40.150065,92.00841095849245,0.0,ENTRY,3,-0.004712301587301515
2024-07-18,AAPU,BUY,36.56827499999999,96.75166244927657,0.0,ENTRY,4,-0.05212655601659766
2024-07-25,GGLL,BUY,39.269625,83.90242337335968,0.0,ENTRY,4,-0.06055528961225465
2024-10-07,NFXL,BUY,24.29214,142.09202907880058,0.0,ENTRY,1,-0.041074249605055235
2024-10-11,NFXL,BUY,25.872929999999997,135.5802224351226,0.0,ENTRY,2,-0.024150943396226476
2024-10-14,NFXL,BUY,25.202595,140.56277963539014,0.0,ENTRY,3,-0.02741312741312729
2024-10-15,NFXL,BUY,24.562275,142.55543609674348,0.0,ENTRY,4,-0.018000000000000016
2024-11-11,TSLT,EXIT,29.16387431586266,534.664273854066,5192.427000612361,TP,4,
2024-11-12,TSLT,BUY,26.843414999999997,148.6940883555542,0.0,ENTRY,1,-0.08398770911573916
2024-11-13,TSLT,BUY,27.183585,147.14480693132194,0.0,ENTRY,2,-0.032751868992523914
2024-11-14,TSLT,BUY,24.001994999999997,165.36613482183395,0.0,ENTRY,3,-0.10149812734082397
2024-11-20,NFXL,EXIT,37.438068347465254,560.7904672460568,6991.302142272074,TP,4,
2024-11-25,NFXL,BUY,35.807894999999995,109.53745835962003,0.0,ENTRY,1,-0.0823076923076923
2024-12-09,TSLT,EXIT,38.8802699457705,461.20503010871005,5971.278441509887,TP,3,
2024-12-09,TSLT,BUY,36.788385,117.52092329905068,0.0,ENTRY,1,-0.037434554973821976
2024-12-09,NFXL,BUY,39.679829999999995,108.95724532793983,0.0,ENTRY,2,-0.03079178885630507
2024-12-10,NFXL,BUY,39.649815000000004,109.71167713359598,0.0,ENTRY,3,-0.0012600806451612545
2024-12-12,TSLT,BUY,42.04101,103.22553027985353,0.0,ENTRY,2,-0.03268876611418037
