symbol,open_pnl
AMZU,2344.8355539509903
AAPU,469.2285648628713
TSLT,-12397.59379069902
METU,-9286.812632646019
NFXL,-11613.090623585065
MSFU,-5641.528609679239
PLTU,-11828.739471525641
NVDU,-1378.7430936271048
GGLL,-2967.0849110560594
IBX,-9680.105114280548
