symbol,open_pnl
IBX,-6538.844277867929
AAPU,2463.236035991442
AMZU,-16320.494933855123
METU,-68364.52580115211
NFXL,-131300.68294943194
TSLT,-164015.36742231008
MSFU,-34413.63532440903
PLTU,-153837.28655191854
GGLL,-47691.40492621655
NVDU,-17036.71249716534
