version,wait,tp,final,return_pct,cagr_pct,max_dd_pct,orders,exits,open,pause_events,special_adds,paused_sessions
baseline_tp22,1,22,119983.4543085758,19.983454308575798,6.2609726880029415,-9.384563098968801,203,40,10,,,
rules_tp22,1,22,115970.60285616355,15.970602856163541,,-10.037019493011556,186,37,10,24.0,1.0,120.0
baseline_tp29,1,29,121719.07265483332,21.719072654833326,6.770893801389044,-11.219251625180648,164,27,10,,,
rules_tp29,1,29,119831.01219726424,19.831012197264243,,-10.295157637370334,160,28,10,21.0,1.0,105.0
