strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
12.5,140,450,-11453.350765914063,711,164,547,23.066104078762308,333153.65240402345,-3.4378583825412514,551,176,-60428.69416498793,-13278.094280265675,62253.437679339535
12.5,140,500,-15254.677087226537,711,157,554,22.081575246132207,333153.65240402345,-4.57887133373727,551,176,-64331.987377976446,-14422.739311071586,63500.04960182149
12.5,140,400,-22303.063734388666,711,167,544,23.488045007032348,333153.65240402345,-6.694527757222726,551,176,-66358.96097582807,-16755.713115567385,60811.61035700679
12.5,140,350,-29553.604761828505,711,170,541,23.90998593530239,333153.65240402345,-8.870863203381045,551,176,-64822.80169933535,-19272.085463489144,54541.282400995995
12.5,140,300,-32887.21584389313,711,179,532,25.17580872011252,333153.65240402345,-9.871485906451962,551,176,-61442.83574320323,-18386.958525322847,46942.57842463295
12.5,140,50,-37322.62443244781,720,420,300,58.333333333333336,337530.3527046338,-11.057560937373863,541,166,-23553.98883629693,-21590.862867855638,7822.227271704749
12.5,140,250,-41285.42033838027,711,189,522,26.582278481012654,333153.65240402345,-12.392306084734873,551,176,-62235.90950135242,-18876.05567582411,39826.544838796275
12.5,140,100,-43413.253934793494,713,302,411,42.3562412342216,334096.50911174546,-12.994225545850597,549,174,-32755.273362511412,-25037.077546391083,14379.09697410899
12.5,140,200,-43576.41340997961,711,208,503,29.254571026722925,333153.65240402345,-13.0799746890163,551,176,-56096.40206419918,-19563.490895959883,32083.47955017944
12.5,140,150,-45391.201287085576,711,240,471,33.755274261603375,333153.65240402345,-13.624704684923753,551,176,-43508.32479455955,-24374.669788246356,22491.793295720323
