strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
17.5,168,500,-8950.735543151346,720,160,560,22.22222222222222,335704.2126328094,-2.6662565455922915,542,168,-72667.51746433659,-9245.646636608075,72962.42855779332
17.5,168,450,-12252.564376738552,720,164,556,22.77777777777778,335704.2126328094,-3.6498095393697993,542,168,-72996.71062578322,-8643.004622133554,69387.15087117822
17.5,168,400,-18108.019895736452,720,169,551,23.47222222222222,335704.2126328094,-5.394040114576358,542,168,-70750.31050464255,-13653.095519015229,66295.38612792132
17.5,168,350,-28306.50364926196,720,173,547,24.02777777777778,335704.2126328094,-8.431977492109516,542,168,-69117.07379554879,-18568.426258025902,59378.99640431274
17.5,168,300,-31982.782014162574,720,181,539,25.13888888888889,335704.2126328094,-9.527071990944922,542,168,-66879.78549574572,-15366.786090908878,50263.78957249202
17.5,168,50,-34214.80956436444,732,432,300,59.01639344262295,341153.38388679177,-10.029157317612384,529,159,-22154.212181205286,-20146.98275919362,8086.385376034465
17.5,168,100,-35676.49437186088,726,320,406,44.0771349862259,338241.42740947905,-10.547641856025665,536,166,-29806.9370115313,-21803.531422399996,15933.974062070414
17.5,168,250,-41055.99976884722,720,194,526,26.944444444444443,335704.2126328094,-12.229813694281503,542,168,-64019.86731522683,-18964.503793460473,41928.37133984009
17.5,168,150,-45017.64494084664,726,251,475,34.57300275482093,338241.42740947905,-13.30932325044494,536,167,-47707.57863965216,-21403.6566436001,24093.590342405612
17.5,168,200,-47727.46310771098,726,214,512,29.476584022038566,338241.42740947905,-14.11047235498198,536,167,-65163.04600702692,-16179.469431816473,33615.0523311324
