entry_date,spot,strike,entry_option_price,contracts,exit_date,pnl,reason,crash,symbol
1999-12-10 09:30:00,0.770837664604187,0.85,0.04880462028147886,102,2000-03-03 09:30:00,603.1107775058995,EXPIRY,Dot-com crash,AAPL
1999-12-14 09:30:00,0.7100305557250977,0.78,0.05116506280264743,97,2000-03-07 09:30:00,857.6131602616463,EXPIRY,Dot-com crash,AAPL
1999-12-21 09:30:00,0.7670958042144775,0.84,0.05769153547074585,86,2000-03-14 09:30:00,-366.88612764439176,EXPIRY,Dot-com crash,AAPL
1999-12-28 09:30:00,0.734821081161499,0.81,0.058855457302582126,84,2000-03-21 09:30:00,1184.3804054539657,EXPIRY,Dot-com crash,AAPL
2000-01-04 09:30:00,0.7670958042144775,0.84,0.07090970816102454,70,2000-03-28 09:30:00,911.9772605776013,EXPIRY,Dot-com crash,AAPL
2000-01-11 09:30:00,0.6941277980804443,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-01-18 09:30:00,0.7778528928756714,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-01-25 09:30:00,0.8400626182556152,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-02-01 09:30:00,0.7502566576004028,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-02-08 09:30:00,0.8597082495689392,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-02-15 09:30:00,0.8905789256095886,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-02-22 09:30:00,0.8517565131187439,0.94,0.06876469788596512,72,2000-05-16 09:30:00,-495.10582477894883,EXPIRY,Dot-com crash,AAPL
2000-02-29 09:30:00,0.8578374981880188,0.94,0.058550440950651816,85,2000-05-23 09:30:00,-497.67874808054046,EXPIRY,Dot-com crash,AAPL
2000-03-07 09:30:00,0.9195787906646729,1.01,0.0943601114451969,52,2000-05-30 09:30:00,-490.6725795150239,EXPIRY,Dot-com crash,AAPL
2000-03-14 09:30:00,0.855030357837677,0.94,0.08665791994391298,57,2000-06-06 09:30:00,-493.95014368030394,EXPIRY,Dot-com crash,AAPL
2000-03-21 09:30:00,1.0098531246185305,1.11,0.11440041552513402,43,2000-06-13 09:30:00,-491.92178675807634,EXPIRY,Dot-com crash,AAPL
2000-03-28 09:30:00,1.0411921739578247,1.15,0.11923753254340436,41,2000-06-20 09:30:00,-488.8738834279579,EXPIRY,Dot-com crash,AAPL
2000-04-04 09:30:00,0.9527889490127563,1.05,0.0956462600400968,52,2000-06-27 09:30:00,-497.36055220850335,EXPIRY,Dot-com crash,AAPL
2000-04-11 09:30:00,0.8938530087471008,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-04-18 09:30:00,0.9495147466659546,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-04-25 09:30:00,0.9602720737457277,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-05-02 09:30:00,0.882159411907196,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-05-09 09:30:00,0.789078950881958,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-05-16 09:30:00,0.7909498810768127,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-05-23 09:30:00,0.6422081589698792,0.71,0.0516626699451202,96,2000-08-15 09:30:00,-495.9616314731539,EXPIRY,Dot-com crash,AAPL
2000-05-30 09:30:00,0.6553051471710205,0.72,0.050244263866584704,99,2000-08-22 09:30:00,33.65355505098137,EXPIRY,Dot-com crash,AAPL
2000-06-06 09:30:00,0.6950631141662598,0.76,0.06281385709915976,79,2000-08-29 09:30:00,498.3957597058224,EXPIRY,Dot-com crash,AAPL
2000-06-13 09:30:00,0.7072244882583618,0.78,0.0534081524340681,93,2000-09-05 09:30:00,940.5819247490307,EXPIRY,Dot-com crash,AAPL
2000-06-20 09:30:00,0.7577404379844666,0.83,0.054750827358156395,91,2000-09-12 09:30:00,-185.3240671500645,EXPIRY,Dot-com crash,AAPL
2000-06-27 09:30:00,0.774578869342804,0.85,0.0753497652024705,66,2000-09-19 09:30:00,-186.26570999130465,EXPIRY,Dot-com crash,AAPL
2000-07-05 09:30:00,0.7727081179618835,0.85,0.07663087446789008,65,2000-09-27 09:30:00,-498.1006840412855,EXPIRY,Dot-com crash,AAPL
2000-07-11 09:30:00,0.8522242903709412,0.94,0.08156167217469984,61,2000-10-03 09:30:00,-497.526200265669,EXPIRY,Dot-com crash,AAPL
2000-07-18 09:30:00,0.856901228427887,0.94,0.0797236968836349,62,2000-10-10 09:30:00,-494.2869206785363,EXPIRY,Dot-com crash,AAPL
2000-07-25 09:30:00,0.7493208646774292,0.82,0.07463725483438971,66,2000-10-17 09:30:00,-492.60588190697206,EXPIRY,Dot-com crash,AAPL
2000-08-01 09:30:00,0.7380950450897217,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-08-08 09:30:00,0.699740469455719,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-08-15 09:30:00,0.6988047361373901,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-08-22 09:30:00,0.7736436128616333,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-08-29 09:30:00,0.885901927947998,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-09-05 09:30:00,0.9345459938049316,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-09-12 09:30:00,0.8643855452537537,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-09-19 09:30:00,0.8971276879310607,0.99,0.07079655841404403,70,2000-12-12 09:30:00,-495.57590889830817,EXPIRY,Dot-com crash,AAPL
2000-09-26 09:30:00,0.7699021100997925,0.85,0.07566423517854914,66,2000-12-19 09:30:00,-499.38395217842435,EXPIRY,Dot-com crash,AAPL
2000-10-03 09:30:00,0.3339675068855285,0.37,0.09805195967562066,50,2000-12-26 09:30:00,-490.25979837810337,EXPIRY,Dot-com crash,AAPL
2000-10-10 09:30:00,0.3124511539936065,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-10-17 09:30:00,0.3012252151966095,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-10-24 09:30:00,0.2825160026550293,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-10-31 09:30:00,0.2928056418895721,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-11-07 09:30:00,0.3189990818500519,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-11-14 09:30:00,0.303096055984497,,,0,,0.0,PAUSED,Dot-com crash,AAPL
2000-11-21 09:30:00,0.2815805077552795,,,0,,0.0,PAUSED,Dot-com crash,AAPL
