timestamp,equity,cash,positions
2025-08-05 13:30:00-04:00,100000.0,100000.0,0
2025-08-06 13:30:00-04:00,100000.0,100000.0,0
2025-08-07 13:30:00-04:00,100000.0,100000.0,0
2025-08-08 13:30:00-04:00,100000.0,100000.0,0
2025-08-11 13:30:00-04:00,100000.0,100000.0,0
2025-08-12 13:30:00-04:00,100000.0,100000.0,0
2025-08-13 13:30:00-04:00,100000.0,100000.0,0
2025-08-14 13:30:00-04:00,99993.75624375624,93750.0,5
2025-08-15 13:30:00-04:00,100087.27747799217,88805.34205788512,9
2025-08-18 13:30:00-04:00,100110.58194691857,86302.5150010439,10
2025-08-19 13:30:00-04:00,100097.28092583272,88924.8900010439,8
2025-08-20 13:30:00-04:00,99988.90836927602,91548.74772168069,6
2025-08-21 13:30:00-04:00,99984.3968557241,91548.74772168069,6
2025-08-22 13:30:00-04:00,100156.81377561456,91548.74772168069,6
2025-08-25 13:30:00-04:00,100177.82450640222,84094.83560544005,10
2025-08-26 13:30:00-04:00,100124.24046340192,84094.83560544005,10
2025-08-27 13:30:00-04:00,100185.17104004687,84094.83560544005,10
2025-08-28 13:30:00-04:00,100186.49288716352,84094.83560544005,10
2025-08-29 13:30:00-04:00,100209.37836675916,85408.46954628162,9
2025-09-02 13:30:00-04:00,100181.06886912604,88035.73742796475,7
2025-09-03 13:30:00-04:00,100238.59220382536,88035.73742796475,7
2025-09-04 13:30:00-04:00,100314.79230434573,88035.73742796475,7
2025-09-05 13:30:00-04:00,100208.79068552885,79326.27098787445,10
2025-09-08 13:30:00-04:00,100350.6393356673,79326.27098787445,10
2025-09-09 13:30:00-04:00,100465.69810926609,79326.27098787445,10
2025-09-10 13:30:00-04:00,100712.36196201062,81952.74121491236,9
2025-09-11 13:30:00-04:00,100681.25522886316,81952.74121491236,9
2025-09-12 13:30:00-04:00,100839.10692304582,81952.74121491236,9
2025-09-15 13:30:00-04:00,100873.88678916487,81952.74121491236,9
2025-09-16 13:30:00-04:00,100826.75486958568,79539.26446725545,10
2025-09-17 13:30:00-04:00,100807.51800038789,79539.26446725545,10
2025-09-18 13:30:00-04:00,100788.23383898256,79539.26446725545,10
2025-09-19 13:30:00-04:00,100785.6500697365,79539.26446725545,10
2025-09-22 13:30:00-04:00,100931.1318715782,82165.73469429335,9
2025-09-23 13:30:00-04:00,100885.09260147414,82165.73469429335,9
2025-09-24 13:30:00-04:00,100861.5023082331,82165.73469429335,9
2025-09-25 13:30:00-04:00,100817.22966557741,82165.73469429335,9
2025-09-26 13:30:00-04:00,100725.70443666297,77129.19789719564,10
2025-09-29 13:30:00-04:00,100781.96824850618,77129.19789719564,10
2025-09-30 13:30:00-04:00,100836.02812535653,77129.19789719564,10
2025-10-01 13:30:00-04:00,100797.48667266875,77129.19789719564,10
2025-10-02 13:30:00-04:00,100877.95784480716,81077.65706810275,9
2025-10-03 13:30:00-04:00,100937.02037871126,82399.750913262,8
2025-10-06 13:30:00-04:00,100958.20140772933,82399.750913262,8
2025-10-07 13:30:00-04:00,101022.1524697043,82399.750913262,8
2025-10-08 13:30:00-04:00,100983.58807285082,76087.88256103446,10
2025-10-09 13:30:00-04:00,101059.22541126379,76087.88256103446,10
2025-10-10 13:30:00-04:00,101419.22962552884,78736.21628426207,8
2025-10-13 13:30:00-04:00,101185.63917411314,78736.21628426207,8
2025-10-14 13:30:00-04:00,101439.23552665635,81381.15196420481,7
2025-10-15 13:30:00-04:00,101471.99524781253,81381.15196420481,7
2025-10-16 13:30:00-04:00,101169.20055303785,72528.07304527912,10
2025-10-17 13:30:00-04:00,101509.91448033032,72528.07304527912,10
2025-10-20 13:30:00-04:00,101629.3476738851,76507.97467328215,7
2025-10-21 13:30:00-04:00,101705.32109876245,76507.97467328215,7
2025-10-22 13:30:00-04:00,101619.84862295262,76507.97467328215,7
2025-10-23 13:30:00-04:00,101518.65205272165,76507.97467328215,7
2025-10-24 13:30:00-04:00,101388.22389281118,70170.81500317887,10
2025-10-27 13:30:00-04:00,101203.91753652926,71500.28773036983,9
2025-10-28 13:30:00-04:00,101026.38937319451,76751.83580358482,8
2025-10-29 13:30:00-04:00,100742.33371045021,76751.83580358482,8
2025-10-30 13:30:00-04:00,101005.5880070779,76751.83580358482,8
2025-10-31 13:30:00-04:00,100952.09734342786,71703.97879570372,10
2025-11-03 13:30:00-05:00,100815.1200422235,71703.97879570372,10
2025-11-04 13:30:00-05:00,101263.44852862926,71703.97879570372,10
2025-11-05 13:30:00-05:00,101188.61042025304,71703.97879570372,10
2025-11-06 13:30:00-05:00,101315.84787140056,73033.45152289468,9
2025-11-07 13:30:00-05:00,101579.87827825912,74362.92425008565,8
2025-11-10 13:30:00-05:00,101312.20841582176,74362.92425008565,8
2025-11-11 13:30:00-05:00,101382.72307764048,74362.92425008565,8
2025-11-12 13:30:00-05:00,101576.25145130386,70553.67211641099,10
