fold,test_start,test_end,embargo_days,selected_rule,test_profit,test_premium,test_trades,test_profit_on_premium_pct,positive_years,years
2010_2012,2010-01-01,2012-12-31,84,frozen 10% OTM / 84 DTE / +500% TP,-29687.73936236507,297350.5252581234,611,-9.984088421096214,1,3
2013_2015,2013-01-01,2015-12-31,84,frozen 10% OTM / 84 DTE / +500% TP,66879.9577211863,335146.2373508609,691,19.95545534087868,2,3
2016_2018,2016-01-01,2018-12-31,84,frozen 10% OTM / 84 DTE / +500% TP,-16776.80036666063,335097.71180025453,701,-5.006539816858244,1,3
2019_2021,2019-01-01,2021-12-31,84,frozen 10% OTM / 84 DTE / +500% TP,99785.22709522824,304150.26866782433,677,32.807870771341655,3,3
2022_2025,2022-01-01,2025-12-31,84,frozen 10% OTM / 84 DTE / +500% TP,35291.54459566341,372252.3831053355,872,9.480542287267783,3,4
