holdout_block,train_blocks,selected_row,strike_otm_pct,dte_days,tp_pct,train_profit,heldout_profit,heldout_rank_percentile,logit_rank,below_median_oos
dotcom,"gfc,covid",2,12.5,84,500.0,72472.40383366519,-25786.698201999832,0.49333333333333335,-0.02666824708216118,True
gfc,"dotcom,covid",7,17.5,112,500.0,52297.529696592705,-9220.937458886969,0.5133333333333333,0.053345980705292714,False
covid,"dotcom,gfc",59,12.5,28,250.0,11963.97514125389,-4578.6110057638125,0.04666666666666667,-3.016934481204594,True
