fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,300.0,217176.76068355417,28.53883600207246,51100.22286459122,254757.12899998671,20.05840741932442,536,37.12686567164179
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,500.0,259313.18736148614,34.075913573770094,68167.01147061253,254757.12899998671,26.757646287737874,536,36.38059701492538
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,700.0,268890.2222782597,35.3344157634872,69705.12110179839,254757.12899998671,27.361401573104565,536,36.19402985074627
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,300.0,154497.70950083697,20.683619814224016,23536.13029707987,248144.35331055959,9.484854272554712,517,32.495164410058024
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,500.0,186412.189643451,24.956220204036622,43245.0446006128,248144.35331055959,17.4273740359872,517,30.56092843326886
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,700.0,203587.78005695017,27.255628935372687,38023.68438676637,248144.35331055959,15.323211622381214,517,30.174081237911025
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,300.0,70873.84536595951,9.803965554147213,-22322.732388062563,234923.2440223759,-9.502138658504295,484,25.826446280991732
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,500.0,77046.60262361464,10.657841891965191,-4040.2577778381637,234923.2440223759,-1.7198203586245975,484,23.34710743801653
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,700.0,93875.69492491332,12.985807030269106,-4477.28339208474,234923.2440223759,-1.9058494661593761,484,22.31404958677686
